block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,99999,0.0,invalid,,,-1,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0,0.0,square4,,,3,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,0,0.0,square4,,,3,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,99999,0.0,invalid,,,-1,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,99999,0.0,invalid,,,-1,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,0,0.0,square4,,,3,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,99999,0.0,invalid,,,-1,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,99999,0.0,invalid,,,-1,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,99999,0.0,invalid,,,-1,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,99999,0.0,invalid,,,-1,p,0.0
S3,0.0,38.0,48.0,42.0,57.0,99999,0.0,invalid,,,-1,S,3.0
S3,1.0,29.0,43.0,51.0,57.0,51,51.0,square3,r,0.112,2,S,3.0
S3,2.0,41.0,49.0,46.0,49.0,99999,51.0,invalid,,,-1,S,3.0
S3,3.0,44.0,50.0,45.0,52.0,99999,51.0,invalid,,,-1,S,3.0
S3,4.0,37.0,51.0,45.0,58.0,99999,51.0,invalid,,,-1,S,3.0
S3,5.0,47.0,43.0,42.0,49.0,99999,51.0,invalid,,,-1,S,3.0
S3,6.0,44.0,53.0,51.0,58.0,99999,51.0,invalid,,,-1,S,3.0
S3,7.0,39.0,47.0,46.0,54.0,46,97.0,square3,r,0.0614,2,S,3.0
S3,8.0,43.0,53.0,41.0,52.0,41,138.0,square3,r,0.0976,2,S,3.0
S3,9.0,42.0,46.0,41.0,53.0,41,179.0,square3,r,1.0248,2,S,3.0
S3,10.0,37.0,49.0,49.0,55.0,99999,179.0,invalid,,,-1,S,3.0
S3,11.0,40.0,47.0,36.0,59.0,99999,179.0,invalid,,,-1,S,3.0
S3,12.0,46.0,51.0,39.0,56.0,39,218.0,square3,r,1.9285,2,S,3.0
S3,13.0,39.0,48.0,45.0,57.0,45,263.0,square3,r,0.222,2,S,3.0
S3,14.0,39.0,55.0,43.0,47.0,43,306.0,square3,r,0.3153,2,S,3.0
S3,15.0,46.0,46.0,47.0,52.0,47,353.0,square3,r,0.4608,2,S,3.0
S3,16.0,42.0,49.0,50.0,55.0,50,403.0,square3,r,0.2834,2,S,3.0
S3,17.0,45.0,45.0,56.0,47.0,56,459.0,square3,r,0.3317,2,S,3.0
S3,18.0,46.0,43.0,45.0,50.0,45,504.0,square3,r,0.4095,2,S,3.0
S3,19.0,41.0,47.0,50.0,55.0,50,554.0,square3,r,0.6273,2,S,3.0
S3,20.0,45.0,52.0,49.0,52.0,49,603.0,square3,r,0.3861,2,S,3.0
S3,21.0,40.0,43.0,47.0,46.0,99999,603.0,invalid,,,-1,S,3.0
S3,22.0,45.0,46.0,44.0,47.0,44,647.0,square3,r,0.1665,2,S,3.0
S3,23.0,36.0,50.0,42.0,46.0,42,689.0,square3,r,0.5519,2,S,3.0
S3,24.0,42.0,54.0,49.0,55.0,49,738.0,square3,r,0.3777,2,S,3.0
S3,25.0,43.0,51.0,44.0,54.0,44,782.0,square3,r,0.3027,2,S,3.0
S3,26.0,49.0,50.0,52.0,52.0,52,834.0,square3,r,0.7151,2,S,3.0
S3,27.0,47.0,52.0,44.0,50.0,44,878.0,square3,r,0.4101,2,S,3.0
S3,28.0,37.0,48.0,40.0,47.0,40,918.0,square3,r,0.3098,2,S,3.0
S3,29.0,50.0,43.0,50.0,57.0,50,968.0,square3,r,0.661,2,S,3.0
S3,30.0,50.0,50.0,46.0,47.0,46,1014.0,square3,r,1.7264,2,S,3.0
S3,31.0,37.0,53.0,49.0,56.0,49,1063.0,square3,r,0.5509,2,S,3.0
S3,32.0,42.0,50.0,43.0,58.0,43,1106.0,square3,r,0.001,2,S,3.0
S3,33.0,44.0,49.0,46.0,59.0,46,1152.0,square3,r,0.0156,2,S,3.0
S3,34.0,42.0,50.0,50.0,58.0,50,1202.0,square3,r,0.2948,2,S,3.0
S3,35.0,43.0,46.0,45.0,50.0,45,1247.0,square3,r,0.1964,2,S,3.0
S3,36.0,46.0,52.0,50.0,48.0,50,1297.0,square3,r,0.1597,2,S,3.0
S3,37.0,48.0,50.0,49.0,52.0,99999,1297.0,invalid,,,-1,S,3.0
S3,38.0,39.0,43.0,50.0,55.0,50,1347.0,square3,r,0.8265,2,S,3.0
S3,39.0,50.0,53.0,46.0,57.0,46,1393.0,square3,r,0.4262,2,S,3.0
S3,40.0,41.0,46.0,48.0,55.0,48,1441.0,square3,r,0.3469,2,S,3.0
S3,41.0,49.0,49.0,40.0,56.0,40,1481.0,square3,r,0.0155,2,S,3.0
S3,42.0,47.0,49.0,43.0,48.0,43,1524.0,square3,r,0.3619,2,S,3.0
S3,43.0,46.0,43.0,41.0,58.0,41,1565.0,square3,r,0.2586,2,S,3.0
S3,44.0,46.0,52.0,51.0,55.0,99999,1565.0,invalid,,,-1,S,3.0
S3,45.0,46.0,41.0,46.0,49.0,46,1611.0,square3,r,1.0341,2,S,3.0
S3,46.0,32.0,56.0,40.0,50.0,40,1651.0,square3,r,0.3924,2,S,3.0
S3,47.0,42.0,49.0,44.0,51.0,44,1695.0,square3,r,0.4441,2,S,3.0
S3,48.0,36.0,45.0,38.0,50.0,38,1733.0,square3,r,0.6621,2,S,3.0
S3,49.0,45.0,48.0,47.0,52.0,47,1780.0,square3,r,0.3951,2,S,3.0
S10,0.0,72.0,76.0,80.0,64.0,64,64.0,square4,r,1.7577,3,S,10.0
S10,1.0,76.0,75.0,74.0,65.0,65,129.0,square4,r,0.2503,3,S,10.0
S10,2.0,70.0,72.0,79.0,74.0,74,203.0,square4,r,0.2017,3,S,10.0
S10,3.0,69.0,77.0,76.0,68.0,76,279.0,square3,i,0.478,2,S,10.0
S10,4.0,72.0,79.0,77.0,70.0,72,351.0,square1,f,1.3433,0,S,10.0
S10,5.0,68.0,74.0,72.0,64.0,68,419.0,square1,f,0.312,0,S,10.0
S10,6.0,70.0,77.0,72.0,62.0,77,496.0,square2,j,0.3132,1,S,10.0
S10,7.0,78.0,81.0,80.0,74.0,81,577.0,square2,j,0.0276,1,S,10.0
S10,8.0,78.0,78.0,82.0,66.0,78,655.0,square2,j,0.1641,1,S,10.0
S10,9.0,69.0,76.0,77.0,65.0,69,724.0,square1,f,0.0588,0,S,10.0
S10,10.0,72.0,78.0,72.0,75.0,72,796.0,square1,f,0.0014,0,S,10.0
S10,11.0,71.0,76.0,78.0,66.0,66,862.0,square4,r,0.2768,3,S,10.0
S10,12.0,73.0,83.0,79.0,69.0,69,931.0,square4,r,0.0825,3,S,10.0
S10,13.0,68.0,77.0,65.0,65.0,99999,931.0,invalid,,,-1,S,10.0
S10,14.0,69.0,84.0,79.0,65.0,99999,931.0,invalid,,,-1,S,10.0
S10,15.0,72.0,84.0,70.0,71.0,71,1002.0,square4,r,1.0291,3,S,10.0
S10,16.0,79.0,80.0,82.0,67.0,67,1069.0,square4,r,0.2611,3,S,10.0
S10,17.0,69.0,83.0,75.0,70.0,83,1152.0,square2,j,1.2329,1,S,10.0
S10,18.0,69.0,75.0,69.0,68.0,75,1227.0,square2,j,0.0747,1,S,10.0
S10,19.0,70.0,83.0,73.0,66.0,70,1297.0,square1,f,0.7984,0,S,10.0
S10,20.0,69.0,83.0,75.0,66.0,69,1366.0,square1,f,0.2142,0,S,10.0
S10,21.0,77.0,70.0,75.0,70.0,99999,1366.0,invalid,,,-1,S,10.0
S10,22.0,73.0,77.0,81.0,69.0,81,1447.0,square3,i,0.0987,2,S,10.0
S10,23.0,73.0,78.0,70.0,65.0,70,1517.0,square3,i,0.2004,2,S,10.0
S10,24.0,70.0,80.0,75.0,66.0,75,1592.0,square3,i,0.0456,2,S,10.0
S10,25.0,70.0,80.0,73.0,72.0,73,1665.0,square3,i,0.1721,2,S,10.0
S10,26.0,73.0,75.0,73.0,75.0,73,1738.0,square3,i,0.1798,2,S,10.0
S10,27.0,77.0,81.0,83.0,66.0,83,1821.0,square3,i,0.2103,2,S,10.0
S10,28.0,73.0,79.0,79.0,73.0,79,1900.0,square3,i,0.0432,2,S,10.0
S10,29.0,73.0,79.0,72.0,69.0,72,1972.0,square3,i,0.0183,2,S,10.0
S10,30.0,71.0,85.0,79.0,69.0,79,2051.0,square3,i,0.0016,2,S,10.0
S10,31.0,71.0,85.0,83.0,66.0,83,2134.0,square3,i,0.2299,2,S,10.0
S10,32.0,78.0,79.0,77.0,65.0,77,2211.0,square3,i,0.1922,2,S,10.0
S10,33.0,83.0,79.0,72.0,68.0,72,2283.0,square3,i,0.2024,2,S,10.0
S10,34.0,68.0,74.0,79.0,72.0,74,2357.0,square2,j,0.1672,1,S,10.0
S10,35.0,70.0,83.0,79.0,67.0,83,2440.0,square2,j,0.1773,1,S,10.0
S10,36.0,67.0,76.0,75.0,72.0,72,2512.0,square4,r,0.1855,3,S,10.0
S10,37.0,76.0,82.0,79.0,60.0,60,2572.0,square4,r,0.002,3,S,10.0
S10,38.0,72.0,75.0,69.0,68.0,68,2640.0,square4,r,0.0171,3,S,10.0
S10,39.0,73.0,78.0,76.0,70.0,70,2710.0,square4,r,0.0167,3,S,10.0
S10,40.0,76.0,77.0,66.0,60.0,60,2770.0,square4,r,0.023,3,S,10.0
S10,41.0,74.0,83.0,73.0,67.0,74,2844.0,square1,f,0.1049,0,S,10.0
S10,42.0,72.0,69.0,80.0,63.0,72,2916.0,square1,f,0.201,0,S,10.0
S10,43.0,69.0,74.0,72.0,68.0,69,2985.0,square1,f,0.0018,0,S,10.0
S10,44.0,67.0,76.0,70.0,65.0,67,3052.0,square1,f,0.0382,0,S,10.0
S10,45.0,76.0,81.0,74.0,72.0,72,3124.0,square4,r,0.7053,3,S,10.0
S10,46.0,76.0,79.0,76.0,66.0,66,3190.0,square4,r,0.1596,3,S,10.0
S10,47.0,67.0,81.0,84.0,60.0,60,3250.0,square4,r,0.0176,3,S,10.0
S10,48.0,73.0,83.0,75.0,66.0,83,3333.0,square2,j,1.3359,1,S,10.0
S10,49.0,66.0,77.0,74.0,71.0,77,3410.0,square2,j,0.0848,1,S,10.0
S1,0.0,72.0,58.0,70.0,66.0,70,70.0,square3,r,1.7632,2,S,1.0
S1,1.0,75.0,64.0,66.0,69.0,69,139.0,square4,f,0.5208,3,S,1.0
S1,2.0,75.0,62.0,62.0,79.0,75,214.0,square1,j,0.595,0,S,1.0
S1,3.0,68.0,62.0,63.0,69.0,62,276.0,square2,i,1.0738,1,S,1.0
S1,4.0,82.0,63.0,64.0,73.0,64,340.0,square3,r,0.6748,2,S,1.0
S1,5.0,66.0,70.0,65.0,73.0,73,413.0,square4,f,0.8276,3,S,1.0
S1,6.0,73.0,65.0,62.0,65.0,73,486.0,square1,j,0.5682,0,S,1.0
S1,7.0,70.0,61.0,65.0,66.0,61,547.0,square2,i,1.6271,1,S,1.0
S1,8.0,78.0,63.0,67.0,68.0,67,614.0,square3,r,0.8671,2,S,1.0
S1,9.0,74.0,67.0,66.0,68.0,68,682.0,square4,f,0.6819,3,S,1.0
S1,10.0,73.0,59.0,68.0,68.0,73,755.0,square1,j,0.6602,0,S,1.0
S1,11.0,76.0,65.0,62.0,81.0,65,820.0,square2,i,0.5117,1,S,1.0
S1,12.0,77.0,66.0,69.0,63.0,69,889.0,square3,r,0.5779,2,S,1.0
S1,13.0,75.0,63.0,68.0,73.0,73,962.0,square4,f,0.8789,3,S,1.0
S1,14.0,67.0,60.0,67.0,69.0,67,1029.0,square1,j,0.5967,0,S,1.0
S1,15.0,70.0,63.0,69.0,73.0,69,1098.0,square3,r,0.6265,2,S,1.0
S1,16.0,69.0,61.0,69.0,69.0,61,1159.0,square2,i,0.5359,1,S,1.0
S1,17.0,73.0,68.0,67.0,73.0,73,1232.0,square1,j,0.4172,0,S,1.0
S1,18.0,70.0,58.0,73.0,66.0,66,1298.0,square4,f,0.1446,3,S,1.0
S1,19.0,75.0,58.0,62.0,68.0,62,1360.0,square3,r,0.635,2,S,1.0
S1,20.0,76.0,58.0,72.0,67.0,76,1436.0,square1,j,1.3117,0,S,1.0
S1,21.0,69.0,66.0,66.0,67.0,67,1503.0,square4,f,0.282,3,S,1.0
S1,22.0,70.0,68.0,65.0,65.0,70,1573.0,square1,j,0.1644,0,S,1.0
S1,23.0,71.0,60.0,64.0,64.0,71,1644.0,square1,j,0.0325,0,S,1.0
