block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,99999,0.0,invalid,,,-1,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0,0.0,square2,,,1,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,0,100.0,square4,,,3,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,0,100.0,square3,,,2,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100,300.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100,400.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100,500.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100,600.0,square1,,,0,p,0.0
V1,0.0,46.0,61.0,52.0,71.0,71,71.0,square4,r,0.8795,3,V,1.0
V1,1.0,45.0,63.0,54.0,78.0,78,149.0,square4,r,0.3987,3,V,1.0
V1,2.0,51.0,58.0,59.0,77.0,77,226.0,square4,r,0.4921,3,V,1.0
V1,3.0,53.0,65.0,56.0,75.0,75,301.0,square4,r,0.384,3,V,1.0
V1,4.0,49.0,68.0,53.0,72.0,53,354.0,square3,i,0.48,2,V,1.0
V1,5.0,47.0,70.0,59.0,76.0,76,430.0,square4,r,0.2691,3,V,1.0
V1,6.0,55.0,63.0,54.0,76.0,55,485.0,square1,f,0.8042,0,V,1.0
V1,7.0,47.0,67.0,55.0,74.0,67,552.0,square2,j,0.2243,1,V,1.0
V1,8.0,47.0,65.0,46.0,76.0,76,628.0,square4,r,0.0505,3,V,1.0
V1,9.0,46.0,68.0,59.0,78.0,78,706.0,square4,r,0.5776,3,V,1.0
V1,10.0,58.0,67.0,58.0,79.0,79,785.0,square4,r,0.8095,3,V,1.0
V1,11.0,44.0,61.0,54.0,72.0,72,857.0,square4,r,0.4285,3,V,1.0
V1,12.0,44.0,65.0,56.0,75.0,75,932.0,square4,r,0.3022,3,V,1.0
V1,13.0,47.0,63.0,53.0,73.0,53,985.0,square3,i,0.1839,2,V,1.0
V1,14.0,49.0,66.0,56.0,75.0,66,1051.0,square2,j,0.2182,1,V,1.0
V1,15.0,49.0,66.0,52.0,79.0,49,1100.0,square1,f,0.2832,0,V,1.0
V1,16.0,51.0,61.0,48.0,72.0,51,1151.0,square1,f,0.1163,0,V,1.0
V1,17.0,46.0,61.0,59.0,71.0,71,1222.0,square4,r,0.1208,3,V,1.0
V1,18.0,45.0,61.0,53.0,72.0,72,1294.0,square4,r,0.0714,3,V,1.0
V1,19.0,49.0,63.0,54.0,76.0,76,1370.0,square4,r,0.2548,3,V,1.0
V1,20.0,46.0,66.0,52.0,72.0,72,1442.0,square4,r,0.2437,3,V,1.0
V1,21.0,50.0,65.0,51.0,73.0,73,1515.0,square4,r,0.1835,3,V,1.0
V1,22.0,56.0,62.0,56.0,77.0,77,1592.0,square4,r,0.263,3,V,1.0
V1,23.0,45.0,67.0,54.0,83.0,83,1675.0,square4,r,0.2607,3,V,1.0
V1,24.0,46.0,69.0,57.0,71.0,71,1746.0,square4,r,0.0765,3,V,1.0
V1,25.0,41.0,65.0,55.0,76.0,76,1822.0,square4,r,0.0507,3,V,1.0
V1,26.0,51.0,60.0,55.0,74.0,74,1896.0,square4,r,0.1845,3,V,1.0
V1,27.0,52.0,63.0,56.0,73.0,73,1969.0,square4,r,0.0046,3,V,1.0
V1,28.0,50.0,68.0,50.0,76.0,76,2045.0,square4,r,0.0692,3,V,1.0
V1,29.0,51.0,60.0,54.0,74.0,60,2105.0,square2,j,0.0211,1,V,1.0
V1,30.0,35.0,67.0,57.0,40.0,57,2162.0,square3,i,1.3872,2,V,1.0
V1,31.0,38.0,60.0,52.0,35.0,35,2197.0,square4,r,0.0243,3,V,1.0
V1,32.0,37.0,67.0,52.0,41.0,37,2234.0,square1,f,0.251,0,V,1.0
V1,33.0,37.0,62.0,53.0,42.0,62,2296.0,square2,j,0.2946,1,V,1.0
V1,34.0,35.0,58.0,54.0,43.0,58,2354.0,square2,j,0.1996,1,V,1.0
V1,35.0,40.0,60.0,50.0,44.0,50,2404.0,square3,i,0.1003,2,V,1.0
V1,36.0,39.0,66.0,50.0,39.0,66,2470.0,square2,j,0.2589,1,V,1.0
V1,37.0,32.0,59.0,54.0,38.0,59,2529.0,square2,j,0.0952,1,V,1.0
V1,38.0,32.0,64.0,50.0,39.0,64,2593.0,square2,j,0.076,1,V,1.0
V1,39.0,37.0,60.0,45.0,40.0,60,2653.0,square2,j,0.1456,1,V,1.0
V1,40.0,35.0,61.0,54.0,43.0,61,2714.0,square2,j,0.1893,1,V,1.0
V1,41.0,33.0,62.0,49.0,42.0,62,2776.0,square2,j,0.0006,1,V,1.0
V1,42.0,31.0,70.0,52.0,42.0,70,2846.0,square2,j,0.0008,1,V,1.0
V1,43.0,37.0,59.0,48.0,41.0,59,2905.0,square2,j,0.0034,1,V,1.0
V1,44.0,39.0,63.0,53.0,44.0,63,2968.0,square2,j,0.0757,1,V,1.0
V1,45.0,37.0,62.0,48.0,41.0,62,3030.0,square2,j,0.0089,1,V,1.0
V1,46.0,34.0,65.0,52.0,39.0,52,3082.0,square3,i,0.0689,2,V,1.0
V1,47.0,42.0,59.0,52.0,43.0,42,3124.0,square1,f,0.0856,0,V,1.0
V1,48.0,39.0,62.0,50.0,38.0,62,3186.0,square2,j,0.0861,1,V,1.0
V1,49.0,33.0,63.0,49.0,40.0,63,3249.0,square2,j,0.1537,1,V,1.0
V1,50.0,38.0,66.0,54.0,37.0,37,3286.0,square4,r,0.3953,3,V,1.0
V1,51.0,33.0,66.0,50.0,37.0,66,3352.0,square2,j,0.0087,1,V,1.0
V1,52.0,41.0,65.0,55.0,44.0,65,3417.0,square2,j,0.0537,1,V,1.0
V1,53.0,75.0,50.0,46.0,60.0,50,3467.0,square2,j,0.1102,1,V,1.0
V1,54.0,74.0,53.0,45.0,61.0,53,3520.0,square2,j,0.0584,1,V,1.0
V1,55.0,74.0,54.0,43.0,65.0,43,3563.0,square3,i,0.0361,2,V,1.0
V1,56.0,73.0,54.0,44.0,56.0,73,3636.0,square1,f,0.3882,0,V,1.0
V1,57.0,67.0,58.0,52.0,63.0,63,3699.0,square4,r,0.3864,3,V,1.0
V1,58.0,72.0,51.0,43.0,62.0,72,3771.0,square1,f,0.1026,0,V,1.0
V1,59.0,68.0,47.0,49.0,56.0,68,3839.0,square1,f,0.0177,0,V,1.0
V1,60.0,72.0,55.0,46.0,65.0,72,3911.0,square1,f,0.1192,0,V,1.0
V1,61.0,76.0,50.0,46.0,62.0,76,3987.0,square1,f,0.1168,0,V,1.0
V1,62.0,77.0,58.0,46.0,66.0,77,4064.0,square1,f,0.1255,0,V,1.0
V1,63.0,72.0,53.0,48.0,66.0,72,4136.0,square1,f,0.1106,0,V,1.0
V1,64.0,70.0,49.0,49.0,60.0,70,4206.0,square1,f,0.1036,0,V,1.0
V1,65.0,68.0,49.0,46.0,66.0,68,4274.0,square1,f,0.1081,0,V,1.0
V1,66.0,77.0,52.0,41.0,64.0,77,4351.0,square1,f,0.1524,0,V,1.0
V1,67.0,74.0,56.0,42.0,69.0,74,4425.0,square1,f,0.1329,0,V,1.0
V1,68.0,77.0,50.0,46.0,68.0,77,4502.0,square1,f,0.1207,0,V,1.0
V1,69.0,76.0,48.0,45.0,63.0,76,4578.0,square1,f,0.1085,0,V,1.0
V1,70.0,71.0,53.0,50.0,65.0,71,4649.0,square1,f,0.1236,0,V,1.0
V1,71.0,70.0,56.0,44.0,59.0,70,4719.0,square1,f,0.1405,0,V,1.0
V1,72.0,74.0,54.0,55.0,61.0,74,4793.0,square1,f,0.1765,0,V,1.0
V1,73.0,73.0,53.0,47.0,61.0,73,4866.0,square1,f,0.0009,0,V,1.0
V1,74.0,71.0,53.0,51.0,65.0,71,4937.0,square1,f,0.1918,0,V,1.0
V1,75.0,72.0,51.0,48.0,64.0,72,5009.0,square1,f,0.1441,0,V,1.0
V1,76.0,72.0,53.0,49.0,62.0,72,5081.0,square1,f,0.1848,0,V,1.0
V1,77.0,62.0,76.0,64.0,86.0,62,5143.0,square1,f,0.1668,0,V,1.0
V1,78.0,61.0,74.0,63.0,87.0,61,5204.0,square1,f,0.4497,0,V,1.0
V1,79.0,56.0,78.0,67.0,89.0,56,5260.0,square1,f,0.3706,0,V,1.0
V1,80.0,59.0,75.0,63.0,84.0,75,5335.0,square2,j,0.1579,1,V,1.0
V1,81.0,63.0,74.0,68.0,82.0,74,5409.0,square2,j,0.0423,1,V,1.0
V1,82.0,59.0,75.0,67.0,80.0,75,5484.0,square2,j,0.0272,1,V,1.0
V1,83.0,58.0,77.0,63.0,82.0,77,5561.0,square2,j,0.0596,1,V,1.0
V1,84.0,57.0,76.0,64.0,87.0,76,5637.0,square2,j,0.1043,1,V,1.0
V1,85.0,61.0,73.0,66.0,83.0,73,5710.0,square2,j,0.0829,1,V,1.0
V1,86.0,60.0,71.0,66.0,85.0,71,5781.0,square2,j,0.0465,1,V,1.0
V1,87.0,61.0,80.0,73.0,84.0,80,5861.0,square2,j,0.0598,1,V,1.0
V1,88.0,67.0,77.0,67.0,85.0,77,5938.0,square2,j,0.0863,1,V,1.0
V1,89.0,60.0,79.0,63.0,86.0,79,6017.0,square2,j,0.1653,1,V,1.0
V1,90.0,60.0,74.0,66.0,88.0,74,6091.0,square2,j,0.0938,1,V,1.0
V1,91.0,57.0,81.0,61.0,79.0,81,6172.0,square2,j,0.1422,1,V,1.0
V1,92.0,61.0,78.0,61.0,84.0,78,6250.0,square2,j,0.0691,1,V,1.0
V1,93.0,64.0,72.0,69.0,83.0,72,6322.0,square2,j,0.1272,1,V,1.0
V1,94.0,64.0,73.0,68.0,83.0,73,6395.0,square2,j,0.134,1,V,1.0
V1,95.0,61.0,69.0,68.0,87.0,69,6464.0,square2,j,0.0918,1,V,1.0
V1,96.0,55.0,77.0,65.0,88.0,77,6541.0,square2,j,0.0772,1,V,1.0
V1,97.0,61.0,75.0,63.0,82.0,75,6616.0,square2,j,0.0438,1,V,1.0
V1,98.0,59.0,71.0,66.0,82.0,71,6687.0,square2,j,0.1378,1,V,1.0
V1,99.0,61.0,69.0,67.0,84.0,84,6771.0,square4,r,0.0359,3,V,1.0
V5,0.0,46.0,21.0,37.0,28.0,21,21.0,square2,r,0.9116,1,V,5.0
V5,1.0,43.0,27.0,36.0,31.0,36,57.0,square3,j,0.6999,2,V,5.0
V5,2.0,50.0,18.0,43.0,32.0,50,107.0,square1,i,0.2914,0,V,5.0
V5,3.0,53.0,23.0,36.0,34.0,34,141.0,square4,f,0.2757,3,V,5.0
V5,4.0,52.0,19.0,38.0,34.0,52,193.0,square1,i,0.2713,0,V,5.0
V5,5.0,50.0,22.0,41.0,29.0,50,243.0,square1,i,0.3192,0,V,5.0
V5,6.0,52.0,19.0,40.0,33.0,52,295.0,square1,i,0.3754,0,V,5.0
V5,7.0,48.0,24.0,36.0,27.0,24,319.0,square2,r,0.3783,1,V,5.0
V5,8.0,50.0,24.0,35.0,33.0,33,352.0,square4,f,0.1768,3,V,5.0
V5,9.0,48.0,25.0,39.0,34.0,39,391.0,square3,j,0.8347,2,V,5.0
V5,10.0,52.0,19.0,32.0,34.0,52,443.0,square1,i,0.1295,0,V,5.0
V5,11.0,48.0,22.0,32.0,32.0,48,491.0,square1,i,0.1186,0,V,5.0
V5,12.0,47.0,17.0,43.0,29.0,47,538.0,square1,i,0.2169,0,V,5.0
V5,13.0,46.0,21.0,42.0,29.0,46,584.0,square1,i,0.4421,0,V,5.0
V5,14.0,47.0,28.0,42.0,28.0,47,631.0,square1,i,0.0839,0,V,5.0
V5,15.0,50.0,29.0,38.0,36.0,50,681.0,square1,i,0.144,0,V,5.0
V5,16.0,49.0,24.0,36.0,34.0,49,730.0,square1,i,0.0873,0,V,5.0
V5,17.0,50.0,20.0,38.0,35.0,50,780.0,square1,i,0.1823,0,V,5.0
V5,18.0,49.0,22.0,46.0,29.0,49,829.0,square1,i,0.193,0,V,5.0
V5,19.0,46.0,23.0,40.0,31.0,46,875.0,square1,i,0.0268,0,V,5.0
V5,20.0,51.0,22.0,41.0,28.0,51,926.0,square1,i,0.0083,0,V,5.0
V5,21.0,51.0,26.0,36.0,31.0,26,952.0,square2,r,0.3826,1,V,5.0
V5,22.0,47.0,18.0,41.0,28.0,28,980.0,square4,f,0.178,3,V,5.0
V5,23.0,52.0,20.0,36.0,29.0,36,1016.0,square3,j,0.0045,2,V,5.0
V5,24.0,51.0,21.0,41.0,34.0,51,1067.0,square1,i,0.0853,0,V,5.0
V5,25.0,50.0,20.0,41.0,27.0,50,1117.0,square1,i,0.4829,0,V,5.0
V5,26.0,49.0,29.0,37.0,28.0,49,1166.0,square1,i,0.3,0,V,5.0
V5,27.0,10.0,13.0,42.0,32.0,10,1176.0,square1,i,0.3004,0,V,5.0
V5,28.0,9.0,19.0,40.0,27.0,19,1195.0,square2,r,0.5363,1,V,5.0
V5,29.0,17.0,17.0,38.0,29.0,29,1224.0,square4,f,0.1093,3,V,5.0
V5,30.0,8.0,18.0,36.0,29.0,36,1260.0,square3,j,0.0777,2,V,5.0
V5,31.0,16.0,24.0,34.0,29.0,34,1294.0,square3,j,0.4189,2,V,5.0
V5,32.0,9.0,17.0,35.0,31.0,35,1329.0,square3,j,0.3333,2,V,5.0
V5,33.0,11.0,19.0,36.0,28.0,36,1365.0,square3,j,0.3872,2,V,5.0
V5,34.0,10.0,19.0,38.0,28.0,38,1403.0,square3,j,0.3688,2,V,5.0
V5,35.0,5.0,23.0,40.0,34.0,40,1443.0,square3,j,0.5189,2,V,5.0
V5,36.0,17.0,20.0,36.0,31.0,36,1479.0,square3,j,0.3428,2,V,5.0
V5,37.0,12.0,13.0,36.0,30.0,36,1515.0,square3,j,0.3956,2,V,5.0
V5,38.0,14.0,24.0,35.0,27.0,24,1539.0,square2,r,0.6376,1,V,5.0
V5,39.0,13.0,20.0,39.0,32.0,32,1571.0,square4,f,0.3249,3,V,5.0
V5,40.0,9.0,15.0,37.0,24.0,9,1580.0,square1,i,0.4842,0,V,5.0
V5,41.0,9.0,14.0,38.0,31.0,38,1618.0,square3,j,0.2918,2,V,5.0
V5,42.0,14.0,17.0,43.0,31.0,43,1661.0,square3,j,0.3762,2,V,5.0
V5,43.0,10.0,18.0,39.0,23.0,39,1700.0,square3,j,0.4775,2,V,5.0
