block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,0,0.0,square2,,,1,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0,0.0,square3,,,2,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,0,100.0,square4,,,3,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100,300.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100,400.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100,500.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100,600.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100,700.0,square1,,,0,p,0.0
V10,0.0,28.0,21.0,37.0,46.0,46,46.0,square4,j,1.307,3,V,10.0
V10,1.0,26.0,19.0,41.0,49.0,26,72.0,square1,r,0.312,0,V,10.0
V10,2.0,29.0,20.0,43.0,48.0,43,115.0,square3,i,0.679,2,V,10.0
V10,3.0,27.0,27.0,37.0,44.0,27,142.0,square2,f,0.385,1,V,10.0
V10,4.0,28.0,16.0,36.0,47.0,36,178.0,square3,i,0.327,2,V,10.0
V10,5.0,33.0,25.0,42.0,54.0,54,232.0,square4,j,0.062,3,V,10.0
V10,6.0,28.0,19.0,35.0,45.0,45,277.0,square4,j,0.253,3,V,10.0
V10,7.0,30.0,24.0,35.0,49.0,30,307.0,square1,r,0.433,0,V,10.0
V10,8.0,37.0,29.0,41.0,47.0,47,354.0,square4,j,0.0,3,V,10.0
V10,9.0,28.0,21.0,41.0,48.0,41,395.0,square3,i,0.144,2,V,10.0
V10,10.0,27.0,22.0,39.0,42.0,22,417.0,square2,f,0.181,1,V,10.0
V10,11.0,32.0,16.0,41.0,48.0,41,458.0,square3,i,0.388,2,V,10.0
V10,12.0,34.0,15.0,33.0,49.0,33,491.0,square3,i,0.179,2,V,10.0
V10,13.0,36.0,19.0,41.0,45.0,45,536.0,square4,j,0.529,3,V,10.0
V10,14.0,28.0,23.0,35.0,53.0,53,589.0,square4,j,0.278,3,V,10.0
V10,15.0,26.0,28.0,40.0,50.0,50,639.0,square4,j,0.163,3,V,10.0
V10,16.0,30.0,25.0,42.0,47.0,47,686.0,square4,j,0.045,3,V,10.0
V10,17.0,31.0,19.0,38.0,50.0,50,736.0,square4,j,0.1,3,V,10.0
V10,18.0,34.0,21.0,35.0,48.0,48,784.0,square4,j,0.512,3,V,10.0
V10,19.0,31.0,24.0,39.0,46.0,39,823.0,square3,i,0.098,2,V,10.0
V10,20.0,28.0,22.0,42.0,47.0,47,870.0,square4,j,0.229,3,V,10.0
V10,21.0,24.0,20.0,41.0,47.0,47,917.0,square4,j,0.11,3,V,10.0
V10,22.0,32.0,22.0,34.0,44.0,44,961.0,square4,j,0.663,3,V,10.0
V10,23.0,29.0,23.0,37.0,47.0,47,1008.0,square4,j,0.03,3,V,10.0
V10,24.0,25.0,25.0,38.0,46.0,46,1054.0,square4,j,0.279,3,V,10.0
V10,25.0,30.0,24.0,41.0,45.0,45,1099.0,square4,j,0.0,3,V,10.0
V10,26.0,32.0,17.0,38.0,49.0,49,1148.0,square4,j,0.031,3,V,10.0
V10,27.0,34.0,21.0,38.0,47.0,47,1195.0,square4,j,0.062,3,V,10.0
V10,28.0,29.0,21.0,37.0,45.0,45,1240.0,square4,j,0.665,3,V,10.0
V10,29.0,30.0,20.0,31.0,47.0,47,1287.0,square4,j,0.197,3,V,10.0
V10,30.0,28.0,21.0,35.0,44.0,44,1331.0,square4,j,0.15,3,V,10.0
V10,31.0,36.0,25.0,14.0,8.0,8,1339.0,square4,j,0.148,3,V,10.0
V10,32.0,38.0,27.0,19.0,11.0,19,1358.0,square3,i,0.127,2,V,10.0
V10,33.0,39.0,21.0,20.0,13.0,39,1397.0,square1,r,0.0,0,V,10.0
V10,34.0,34.0,24.0,20.0,10.0,24,1421.0,square2,f,0.046,1,V,10.0
V10,35.0,44.0,29.0,17.0,11.0,44,1465.0,square1,r,0.246,0,V,10.0
V10,36.0,33.0,30.0,17.0,9.0,33,1498.0,square1,r,0.119,0,V,10.0
V10,37.0,31.0,27.0,12.0,6.0,31,1529.0,square1,r,0.101,0,V,10.0
V10,38.0,34.0,29.0,15.0,10.0,34,1563.0,square1,r,0.57,0,V,10.0
V10,39.0,35.0,21.0,19.0,5.0,35,1598.0,square1,r,0.604,0,V,10.0
V10,40.0,32.0,26.0,18.0,6.0,32,1630.0,square1,r,0.222,0,V,10.0
V10,41.0,34.0,32.0,13.0,9.0,34,1664.0,square1,r,0.517,0,V,10.0
V10,42.0,35.0,30.0,16.0,8.0,16,1680.0,square3,i,0.08,2,V,10.0
V10,43.0,38.0,32.0,16.0,8.0,38,1718.0,square1,r,0.184,0,V,10.0
V10,44.0,34.0,20.0,18.0,3.0,20,1738.0,square2,f,0.314,1,V,10.0
V10,45.0,38.0,22.0,23.0,9.0,38,1776.0,square1,r,0.221,0,V,10.0
V10,46.0,36.0,28.0,16.0,10.0,36,1812.0,square1,r,0.03,0,V,10.0
V10,47.0,36.0,27.0,13.0,8.0,8,1820.0,square4,j,0.255,3,V,10.0
V10,48.0,35.0,27.0,14.0,12.0,35,1855.0,square1,r,0.218,0,V,10.0
V10,49.0,33.0,28.0,16.0,10.0,33,1888.0,square1,r,0.111,0,V,10.0
V10,50.0,31.0,29.0,19.0,8.0,31,1919.0,square1,r,0.15,0,V,10.0
V10,51.0,32.0,21.0,20.0,12.0,32,1951.0,square1,r,0.337,0,V,10.0
V10,52.0,29.0,25.0,21.0,10.0,29,1980.0,square1,r,0.088,0,V,10.0
V10,53.0,39.0,29.0,23.0,2.0,39,2019.0,square1,r,0.621,0,V,10.0
V10,54.0,33.0,28.0,19.0,7.0,33,2052.0,square1,r,0.131,0,V,10.0
V10,55.0,34.0,24.0,15.0,8.0,34,2086.0,square1,r,0.03,0,V,10.0
V10,56.0,35.0,20.0,21.0,9.0,35,2121.0,square1,r,0.612,0,V,10.0
V10,57.0,33.0,27.0,19.0,7.0,7,2128.0,square4,j,0.315,3,V,10.0
V10,58.0,38.0,24.0,16.0,7.0,38,2166.0,square1,r,0.129,0,V,10.0
V10,59.0,34.0,29.0,15.0,5.0,15,2181.0,square3,i,0.171,2,V,10.0
V10,60.0,34.0,22.0,19.0,9.0,22,2203.0,square2,f,0.585,1,V,10.0
V10,61.0,39.0,31.0,20.0,10.0,39,2242.0,square1,r,0.195,0,V,10.0
V10,62.0,35.0,24.0,18.0,6.0,35,2277.0,square1,r,0.087,0,V,10.0
V10,63.0,35.0,26.0,18.0,9.0,35,2312.0,square1,r,0.094,0,V,10.0
V10,64.0,31.0,55.0,23.0,23.0,31,2343.0,square1,r,0.486,0,V,10.0
V10,65.0,35.0,50.0,22.0,27.0,35,2378.0,square1,r,0.189,0,V,10.0
V10,66.0,35.0,53.0,25.0,29.0,35,2413.0,square1,r,0.964,0,V,10.0
V10,67.0,38.0,44.0,17.0,29.0,38,2451.0,square1,r,0.897,0,V,10.0
V10,68.0,36.0,48.0,22.0,27.0,36,2487.0,square1,r,0.001,0,V,10.0
V10,69.0,41.0,53.0,17.0,28.0,41,2528.0,square1,r,0.121,0,V,10.0
V10,70.0,40.0,48.0,23.0,28.0,40,2568.0,square1,r,1.115,0,V,10.0
V10,71.0,39.0,43.0,24.0,20.0,39,2607.0,square1,r,0.289,0,V,10.0
V10,72.0,36.0,49.0,19.0,25.0,36,2643.0,square1,r,0.448,0,V,10.0
V10,73.0,39.0,49.0,23.0,32.0,39,2682.0,square1,r,0.0,0,V,10.0
V10,74.0,36.0,44.0,17.0,29.0,36,2718.0,square1,r,0.211,0,V,10.0
V10,75.0,37.0,46.0,20.0,30.0,37,2755.0,square1,r,0.0,0,V,10.0
V10,76.0,38.0,47.0,23.0,30.0,38,2793.0,square1,r,0.134,0,V,10.0
V10,77.0,36.0,49.0,22.0,32.0,36,2829.0,square1,r,0.763,0,V,10.0
V10,78.0,41.0,44.0,19.0,27.0,41,2870.0,square1,r,1.211,0,V,10.0
V10,79.0,41.0,48.0,22.0,27.0,41,2911.0,square1,r,0.0,0,V,10.0
V10,80.0,34.0,44.0,26.0,29.0,34,2945.0,square1,r,0.578,0,V,10.0
V10,81.0,38.0,47.0,18.0,29.0,38,2983.0,square1,r,0.782,0,V,10.0
V10,82.0,43.0,43.0,23.0,28.0,43,3026.0,square1,r,0.279,0,V,10.0
V10,83.0,34.0,51.0,23.0,26.0,34,3060.0,square1,r,0.614,0,V,10.0
V10,84.0,36.0,46.0,18.0,25.0,36,3096.0,square1,r,0.565,0,V,10.0
V10,85.0,39.0,46.0,25.0,26.0,39,3135.0,square1,r,0.413,0,V,10.0
V10,86.0,39.0,50.0,27.0,27.0,39,3174.0,square1,r,0.115,0,V,10.0
V10,87.0,38.0,46.0,20.0,30.0,38,3212.0,square1,r,0.294,0,V,10.0
V10,88.0,37.0,49.0,22.0,28.0,37,3249.0,square1,r,1.146,0,V,10.0
V10,89.0,34.0,51.0,25.0,26.0,34,3283.0,square1,r,0.056,0,V,10.0
V10,90.0,41.0,49.0,22.0,29.0,41,3324.0,square1,r,0.05,0,V,10.0
V10,91.0,37.0,45.0,26.0,32.0,37,3361.0,square1,r,0.231,0,V,10.0
V10,92.0,42.0,42.0,27.0,28.0,42,3403.0,square1,r,0.303,0,V,10.0
V10,93.0,41.0,48.0,19.0,36.0,41,3444.0,square1,r,0.481,0,V,10.0
V10,94.0,43.0,49.0,23.0,31.0,43,3487.0,square1,r,0.639,0,V,10.0
V10,95.0,39.0,46.0,18.0,27.0,39,3526.0,square1,r,0.33,0,V,10.0
V10,96.0,37.0,48.0,24.0,27.0,37,3563.0,square1,r,0.021,0,V,10.0
V10,97.0,42.0,50.0,23.0,31.0,42,3605.0,square1,r,0.183,0,V,10.0
V10,98.0,33.0,47.0,25.0,32.0,33,3638.0,square1,r,0.217,0,V,10.0
V10,99.0,39.0,48.0,23.0,32.0,39,3677.0,square1,r,0.213,0,V,10.0
V2,0.0,33.0,24.0,43.0,18.0,33,33.0,square1,i,1.515,0,V,2.0
V2,1.0,33.0,29.0,42.0,21.0,29,62.0,square2,j,0.567,1,V,2.0
V2,2.0,37.0,26.0,45.0,22.0,22,84.0,square4,r,0.363,3,V,2.0
V2,3.0,39.0,26.0,41.0,20.0,41,125.0,square3,f,0.298,2,V,2.0
V2,4.0,29.0,32.0,45.0,19.0,29,154.0,square1,i,0.262,0,V,2.0
V2,5.0,33.0,28.0,44.0,17.0,44,198.0,square3,f,0.0,2,V,2.0
V2,6.0,32.0,24.0,49.0,20.0,24,222.0,square2,j,0.103,1,V,2.0
V2,7.0,32.0,21.0,42.0,13.0,42,264.0,square3,f,0.42,2,V,2.0
V2,8.0,35.0,23.0,45.0,19.0,45,309.0,square3,f,0.598,2,V,2.0
V2,9.0,33.0,28.0,46.0,17.0,46,355.0,square3,f,0.303,2,V,2.0
V2,10.0,39.0,27.0,45.0,21.0,45,400.0,square3,f,0.063,2,V,2.0
V2,11.0,30.0,23.0,44.0,22.0,44,444.0,square3,f,0.281,2,V,2.0
V2,12.0,31.0,26.0,43.0,16.0,43,487.0,square3,f,0.071,2,V,2.0
V2,13.0,35.0,26.0,43.0,22.0,43,530.0,square3,f,1.155,2,V,2.0
V2,14.0,35.0,29.0,46.0,19.0,46,576.0,square3,f,0.022,2,V,2.0
V2,15.0,36.0,22.0,44.0,20.0,44,620.0,square3,f,0.0,2,V,2.0
V2,16.0,33.0,27.0,45.0,19.0,45,665.0,square3,f,1.166,2,V,2.0
V2,17.0,35.0,25.0,41.0,15.0,41,706.0,square3,f,0.065,2,V,2.0
V2,18.0,37.0,27.0,51.0,21.0,51,757.0,square3,f,0.083,2,V,2.0
V2,19.0,33.0,25.0,43.0,18.0,43,800.0,square3,f,0.081,2,V,2.0
V2,20.0,39.0,25.0,43.0,20.0,43,843.0,square3,f,0.716,2,V,2.0
V2,21.0,27.0,32.0,43.0,24.0,43,886.0,square3,f,0.531,2,V,2.0
V2,22.0,35.0,27.0,50.0,13.0,50,936.0,square3,f,0.786,2,V,2.0
V2,23.0,36.0,25.0,39.0,17.0,39,975.0,square3,f,0.113,2,V,2.0
V2,24.0,32.0,45.0,39.0,59.0,39,1014.0,square3,f,0.166,2,V,2.0
V2,25.0,26.0,43.0,37.0,55.0,37,1051.0,square3,f,0.815,2,V,2.0
V2,26.0,23.0,45.0,39.0,58.0,39,1090.0,square3,f,0.312,2,V,2.0
V2,27.0,30.0,44.0,40.0,56.0,56,1146.0,square4,r,0.615,3,V,2.0
V2,28.0,34.0,48.0,41.0,54.0,54,1200.0,square4,r,0.183,3,V,2.0
V2,29.0,29.0,42.0,35.0,54.0,54,1254.0,square4,r,0.105,3,V,2.0
V2,30.0,22.0,39.0,39.0,55.0,22,1276.0,square1,i,0.383,0,V,2.0
V2,31.0,32.0,48.0,35.0,50.0,48,1324.0,square2,j,0.098,1,V,2.0
V2,32.0,27.0,47.0,40.0,58.0,58,1382.0,square4,r,0.064,3,V,2.0
V2,33.0,28.0,46.0,31.0,54.0,54,1436.0,square4,r,0.282,3,V,2.0
V2,34.0,28.0,44.0,41.0,49.0,49,1485.0,square4,r,0.413,3,V,2.0
V2,35.0,31.0,44.0,33.0,59.0,59,1544.0,square4,r,0.398,3,V,2.0
V2,36.0,29.0,48.0,30.0,55.0,55,1599.0,square4,r,0.297,3,V,2.0
V2,37.0,25.0,45.0,32.0,51.0,51,1650.0,square4,r,0.651,3,V,2.0
V2,38.0,29.0,48.0,33.0,54.0,54,1704.0,square4,r,0.68,3,V,2.0
V2,39.0,29.0,44.0,33.0,54.0,54,1758.0,square4,r,0.529,3,V,2.0
V2,40.0,33.0,42.0,37.0,61.0,61,1819.0,square4,r,0.088,3,V,2.0
V2,41.0,28.0,45.0,41.0,57.0,57,1876.0,square4,r,0.068,3,V,2.0
V2,42.0,33.0,46.0,36.0,54.0,54,1930.0,square4,r,0.265,3,V,2.0
V2,43.0,31.0,42.0,40.0,57.0,57,1987.0,square4,r,0.17,3,V,2.0
V2,44.0,27.0,45.0,38.0,56.0,56,2043.0,square4,r,0.08,3,V,2.0
V2,45.0,27.0,44.0,32.0,51.0,44,2087.0,square2,j,0.115,1,V,2.0
V2,46.0,28.0,44.0,39.0,57.0,28,2115.0,square1,i,0.056,0,V,2.0
V2,47.0,30.0,45.0,36.0,56.0,36,2151.0,square3,f,0.234,2,V,2.0
V2,48.0,31.0,47.0,41.0,59.0,59,2210.0,square4,r,0.235,3,V,2.0
V2,49.0,32.0,45.0,33.0,57.0,57,2267.0,square4,r,0.488,3,V,2.0
V2,50.0,24.0,38.0,36.0,52.0,52,2319.0,square4,r,0.095,3,V,2.0
V2,51.0,29.0,48.0,34.0,54.0,54,2373.0,square4,r,1.886,3,V,2.0
V2,52.0,30.0,50.0,38.0,56.0,56,2429.0,square4,r,0.334,3,V,2.0
V2,53.0,27.0,47.0,33.0,55.0,55,2484.0,square4,r,0.132,3,V,2.0
V2,54.0,34.0,21.0,45.0,25.0,25,2509.0,square4,r,0.346,3,V,2.0
V2,55.0,36.0,19.0,39.0,24.0,24,2533.0,square4,r,0.4,3,V,2.0
V2,56.0,29.0,19.0,45.0,18.0,45,2578.0,square3,f,0.396,2,V,2.0
V2,57.0,29.0,20.0,39.0,20.0,20,2598.0,square2,j,0.115,1,V,2.0
V2,58.0,40.0,18.0,42.0,21.0,40,2638.0,square1,i,0.715,0,V,2.0
V2,59.0,31.0,17.0,44.0,23.0,44,2682.0,square3,f,0.1,2,V,2.0
V2,60.0,31.0,19.0,42.0,20.0,42,2724.0,square3,f,0.118,2,V,2.0
V2,61.0,34.0,16.0,41.0,25.0,41,2765.0,square3,f,0.012,2,V,2.0
V2,62.0,28.0,12.0,41.0,22.0,22,2787.0,square4,r,0.213,3,V,2.0
V2,63.0,32.0,14.0,45.0,26.0,45,2832.0,square3,f,0.18,2,V,2.0
V2,64.0,36.0,21.0,41.0,25.0,41,2873.0,square3,f,1.565,2,V,2.0
V2,65.0,32.0,13.0,39.0,24.0,39,2912.0,square3,f,0.379,2,V,2.0
V2,66.0,35.0,15.0,42.0,20.0,42,2954.0,square3,f,0.655,2,V,2.0
V2,67.0,30.0,23.0,47.0,27.0,47,3001.0,square3,f,0.245,2,V,2.0
V2,68.0,31.0,17.0,43.0,24.0,99999,3001.0,invalid,,,-1,V,2.0
V2,69.0,33.0,20.0,41.0,20.0,41,3042.0,square3,f,0.484,2,V,2.0
V2,70.0,37.0,17.0,43.0,21.0,99999,3042.0,invalid,,,-1,V,2.0
V2,71.0,45.0,31.0,36.0,58.0,99999,3042.0,invalid,,,-1,V,2.0
V2,72.0,47.0,31.0,31.0,54.0,31,3073.0,square3,f,0.098,2,V,2.0
V2,73.0,50.0,30.0,33.0,55.0,33,3106.0,square3,f,0.33,2,V,2.0
V2,74.0,45.0,31.0,36.0,51.0,36,3142.0,square3,f,0.065,2,V,2.0
V2,75.0,47.0,28.0,38.0,54.0,38,3180.0,square3,f,0.001,2,V,2.0
V2,76.0,52.0,33.0,35.0,60.0,60,3240.0,square4,r,0.281,3,V,2.0
V2,77.0,41.0,29.0,37.0,53.0,41,3281.0,square1,i,0.481,0,V,2.0
V2,78.0,51.0,24.0,34.0,56.0,24,3305.0,square2,j,0.7,1,V,2.0
V2,79.0,41.0,34.0,36.0,52.0,52,3357.0,square4,r,0.186,3,V,2.0
