block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0,100.0,square4,,,3,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,0,100.0,square3,,,2,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,0,200.0,square2,,,1,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100,300.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100,400.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100,500.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100,600.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100,700.0,square1,,,0,p,0.0
NS11,0.0,78.0,37.0,30.0,78.0,30,30.0,square3,j,0.8232,2,N,11.0
NS11,1.0,85.0,34.0,30.0,76.0,34,64.0,square2,i,0.7766,1,N,11.0
NS11,2.0,79.0,33.0,36.0,77.0,79,143.0,square1,f,0.7465,0,N,11.0
NS11,3.0,82.0,33.0,28.0,72.0,72,215.0,square4,r,0.6786,3,N,11.0
NS11,4.0,82.0,34.0,33.0,76.0,34,249.0,square2,i,0.8014,1,N,11.0
NS11,5.0,78.0,38.0,32.0,83.0,38,287.0,square2,i,0.7804,1,N,11.0
NS11,6.0,78.0,37.0,34.0,77.0,34,321.0,square3,j,0.7702,2,N,11.0
NS11,7.0,80.0,30.0,33.0,74.0,80,401.0,square1,f,0.9034,0,N,11.0
NS11,8.0,79.0,32.0,30.0,73.0,30,431.0,square3,j,0.4783,2,N,11.0
NS11,9.0,81.0,41.0,34.0,61.0,34,465.0,square3,j,0.5764,2,N,11.0
NS11,10.0,76.0,38.0,25.0,64.0,25,490.0,square3,j,0.4854,2,N,11.0
NS11,11.0,79.0,34.0,27.0,65.0,65,555.0,square4,r,0.512,3,N,11.0
NS11,12.0,81.0,32.0,25.0,68.0,68,623.0,square4,r,0.426,3,N,11.0
NS11,13.0,84.0,36.0,24.0,64.0,64,687.0,square4,r,0.2591,3,N,11.0
NS11,14.0,80.0,30.0,24.0,61.0,61,748.0,square4,r,0.3689,3,N,11.0
NS11,15.0,86.0,33.0,22.0,66.0,66,814.0,square4,r,0.2611,3,N,11.0
NS11,16.0,85.0,32.0,20.0,64.0,64,878.0,square4,r,0.3079,3,N,11.0
NS11,17.0,83.0,32.0,22.0,71.0,71,949.0,square4,r,0.2029,3,N,11.0
NS11,18.0,80.0,31.0,19.0,66.0,66,1015.0,square4,r,0.2694,3,N,11.0
NS11,19.0,75.0,40.0,23.0,69.0,69,1084.0,square4,r,0.2343,3,N,11.0
NS11,20.0,73.0,37.0,14.0,67.0,73,1157.0,square1,f,0.4014,0,N,11.0
NS11,21.0,81.0,34.0,23.0,70.0,34,1191.0,square2,i,0.1267,1,N,11.0
NS11,22.0,77.0,39.0,16.0,73.0,77,1268.0,square1,f,0.0012,0,N,11.0
NS11,23.0,78.0,30.0,23.0,74.0,78,1346.0,square1,f,0.0373,0,N,11.0
NS11,24.0,80.0,32.0,26.0,68.0,80,1426.0,square1,f,0.1305,0,N,11.0
NS11,25.0,81.0,29.0,29.0,73.0,29,1455.0,square3,j,0.1278,2,N,11.0
NS11,26.0,77.0,31.0,26.0,69.0,77,1532.0,square1,f,0.0197,0,N,11.0
NS11,27.0,69.0,47.0,29.0,64.0,69,1601.0,square1,f,0.0609,0,N,11.0
NS11,28.0,69.0,39.0,28.0,71.0,69,1670.0,square1,f,0.628,0,N,11.0
NS11,29.0,71.0,41.0,24.0,66.0,71,1741.0,square1,f,0.2386,0,N,11.0
NS11,30.0,70.0,40.0,21.0,68.0,70,1811.0,square1,f,0.0328,0,N,11.0
NS11,31.0,72.0,44.0,21.0,68.0,72,1883.0,square1,f,0.0897,0,N,11.0
NS11,32.0,72.0,41.0,19.0,75.0,72,1955.0,square1,f,0.0371,0,N,11.0
NS11,33.0,66.0,48.0,21.0,72.0,66,2021.0,square1,f,0.0584,0,N,11.0
NS11,34.0,67.0,48.0,24.0,72.0,72,2093.0,square4,r,0.4712,3,N,11.0
NS11,35.0,58.0,52.0,14.0,73.0,58,2151.0,square1,f,0.281,0,N,11.0
NS11,36.0,61.0,52.0,23.0,70.0,70,2221.0,square4,r,0.1502,3,N,11.0
NS11,37.0,50.0,55.0,29.0,67.0,67,2288.0,square4,r,0.199,3,N,11.0
NS11,38.0,51.0,54.0,20.0,64.0,64,2352.0,square4,r,0.1294,3,N,11.0
NS11,39.0,54.0,49.0,26.0,63.0,63,2415.0,square4,r,0.0626,3,N,11.0
NS11,40.0,50.0,47.0,24.0,70.0,70,2485.0,square4,r,0.0443,3,N,11.0
NS11,41.0,54.0,46.0,23.0,63.0,46,2531.0,square2,i,0.0187,1,N,11.0
NS11,42.0,54.0,47.0,25.0,61.0,61,2592.0,square4,r,0.0014,3,N,11.0
NS11,43.0,46.0,49.0,33.0,72.0,33,2625.0,square3,j,0.5284,2,N,11.0
NS11,44.0,54.0,50.0,38.0,72.0,72,2697.0,square4,r,0.2272,3,N,11.0
NS11,45.0,56.0,53.0,39.0,81.0,81,2778.0,square4,r,0.27,3,N,11.0
NS11,46.0,57.0,55.0,33.0,77.0,77,2855.0,square4,r,0.1771,3,N,11.0
NS11,47.0,56.0,51.0,32.0,76.0,76,2931.0,square4,r,0.5938,3,N,11.0
NS11,48.0,58.0,49.0,29.0,85.0,85,3016.0,square4,r,0.2513,3,N,11.0
NS11,49.0,58.0,53.0,27.0,83.0,83,3099.0,square4,r,0.178,3,N,11.0
NS11,50.0,62.0,49.0,24.0,80.0,80,3179.0,square4,r,0.2944,3,N,11.0
NS11,51.0,57.0,55.0,23.0,77.0,77,3256.0,square4,r,0.1477,3,N,11.0
NS11,52.0,56.0,55.0,20.0,77.0,56,3312.0,square1,f,0.0123,0,N,11.0
NS11,53.0,59.0,56.0,20.0,78.0,78,3390.0,square4,r,0.1712,3,N,11.0
NS11,54.0,58.0,57.0,27.0,74.0,74,3464.0,square4,r,0.1039,3,N,11.0
NS11,55.0,60.0,55.0,24.0,79.0,79,3543.0,square4,r,0.2927,3,N,11.0
NS11,56.0,60.0,52.0,22.0,77.0,77,3620.0,square4,r,0.2123,3,N,11.0
NS11,57.0,58.0,55.0,22.0,72.0,72,3692.0,square4,r,0.0175,3,N,11.0
NS11,58.0,63.0,52.0,22.0,75.0,75,3767.0,square4,r,0.4032,3,N,11.0
NS11,59.0,62.0,56.0,17.0,70.0,70,3837.0,square4,r,0.1161,3,N,11.0
NS11,60.0,61.0,55.0,22.0,70.0,70,3907.0,square4,r,0.1602,3,N,11.0
NS11,61.0,57.0,52.0,21.0,76.0,76,3983.0,square4,r,0.0108,3,N,11.0
NS11,62.0,57.0,48.0,28.0,75.0,75,4058.0,square4,r,0.2671,3,N,11.0
NS11,63.0,57.0,58.0,30.0,68.0,68,4126.0,square4,r,0.0994,3,N,11.0
NS11,64.0,61.0,61.0,27.0,74.0,61,4187.0,square2,i,0.0721,1,N,11.0
NS11,65.0,67.0,63.0,40.0,71.0,71,4258.0,square4,r,0.1808,3,N,11.0
NS11,66.0,69.0,55.0,38.0,73.0,55,4313.0,square2,i,0.1136,1,N,11.0
NS11,67.0,72.0,57.0,36.0,65.0,36,4349.0,square3,j,0.1079,2,N,11.0
NS11,68.0,71.0,61.0,36.0,64.0,64,4413.0,square4,r,0.1435,3,N,11.0
NS11,69.0,74.0,66.0,37.0,58.0,74,4487.0,square1,f,0.1225,0,N,11.0
NS11,70.0,69.0,60.0,40.0,66.0,69,4556.0,square1,f,0.1132,0,N,11.0
NS11,71.0,71.0,58.0,40.0,64.0,71,4627.0,square1,f,0.2143,0,N,11.0
NS11,72.0,72.0,58.0,46.0,67.0,72,4699.0,square1,f,0.0749,0,N,11.0
NS11,73.0,72.0,56.0,47.0,65.0,72,4771.0,square1,f,0.0499,0,N,11.0
NS11,74.0,66.0,54.0,47.0,63.0,66,4837.0,square1,f,0.7193,0,N,11.0
NS11,75.0,75.0,53.0,43.0,58.0,75,4912.0,square1,f,0.236,0,N,11.0
NS11,76.0,75.0,48.0,40.0,59.0,59,4971.0,square4,r,0.1606,3,N,11.0
NS11,77.0,65.0,48.0,36.0,58.0,65,5036.0,square1,f,0.0429,0,N,11.0
NS11,78.0,70.0,45.0,37.0,59.0,70,5106.0,square1,f,0.1619,0,N,11.0
NS11,79.0,70.0,41.0,36.0,59.0,70,5176.0,square1,f,0.1391,0,N,11.0
NS11,80.0,73.0,43.0,39.0,59.0,73,5249.0,square1,f,0.1698,0,N,11.0
NS11,81.0,72.0,39.0,38.0,60.0,72,5321.0,square1,f,0.0727,0,N,11.0
NS11,82.0,72.0,39.0,44.0,65.0,72,5393.0,square1,f,0.0301,0,N,11.0
NS11,83.0,68.0,38.0,40.0,61.0,38,5431.0,square2,i,0.0197,1,N,11.0
NS11,84.0,69.0,36.0,36.0,64.0,69,5500.0,square1,f,0.5706,0,N,11.0
NS11,85.0,70.0,34.0,40.0,69.0,70,5570.0,square1,f,0.2374,0,N,11.0
NS11,86.0,70.0,32.0,36.0,71.0,70,5640.0,square1,f,0.0605,0,N,11.0
NS11,87.0,69.0,31.0,37.0,70.0,69,5709.0,square1,f,0.0307,0,N,11.0
NS11,88.0,69.0,34.0,41.0,67.0,69,5778.0,square1,f,0.1302,0,N,11.0
NS11,89.0,67.0,39.0,44.0,67.0,67,5845.0,square1,f,0.0524,0,N,11.0
NS11,90.0,64.0,33.0,36.0,69.0,69,5914.0,square4,r,0.1217,3,N,11.0
NS11,91.0,60.0,33.0,38.0,67.0,67,5981.0,square4,r,0.6373,3,N,11.0
NS11,92.0,60.0,33.0,37.0,68.0,68,6049.0,square4,r,0.1486,3,N,11.0
NS11,93.0,54.0,36.0,38.0,73.0,73,6122.0,square4,r,0.5206,3,N,11.0
NS11,94.0,58.0,35.0,39.0,68.0,68,6190.0,square4,r,0.2901,3,N,11.0
NS11,95.0,50.0,38.0,32.0,77.0,77,6267.0,square4,r,0.1519,3,N,11.0
NS11,96.0,53.0,42.0,30.0,71.0,71,6338.0,square4,r,0.022,3,N,11.0
NS11,97.0,54.0,38.0,32.0,75.0,75,6413.0,square4,r,0.5189,3,N,11.0
NS11,98.0,52.0,48.0,32.0,72.0,72,6485.0,square4,r,0.1877,3,N,11.0
NS11,99.0,55.0,45.0,33.0,73.0,73,6558.0,square4,r,0.4761,3,N,11.0
NS9,0.0,40.0,33.0,41.0,64.0,41,41.0,square3,i,1.1109,2,N,9.0
NS9,1.0,40.0,19.0,39.0,64.0,64,105.0,square4,j,0.0045,3,N,9.0
NS9,2.0,41.0,16.0,44.0,59.0,16,121.0,square2,f,0.4043,1,N,9.0
NS9,3.0,41.0,19.0,48.0,58.0,41,162.0,square1,r,0.1548,0,N,9.0
NS9,4.0,46.0,18.0,45.0,54.0,54,216.0,square4,j,0.0791,3,N,9.0
NS9,5.0,40.0,17.0,53.0,54.0,54,270.0,square4,j,0.0011,3,N,9.0
NS9,6.0,40.0,19.0,47.0,46.0,46,316.0,square4,j,0.4123,3,N,9.0
NS9,7.0,44.0,21.0,51.0,49.0,49,365.0,square4,j,0.2877,3,N,9.0
NS9,8.0,41.0,26.0,44.0,55.0,55,420.0,square4,j,0.2949,3,N,9.0
NS9,9.0,36.0,15.0,44.0,54.0,44,464.0,square3,i,0.3108,2,N,9.0
NS9,10.0,32.0,19.0,48.0,49.0,49,513.0,square4,j,0.2035,3,N,9.0
NS9,11.0,32.0,18.0,50.0,57.0,32,545.0,square1,r,0.1847,0,N,9.0
NS9,12.0,32.0,18.0,57.0,52.0,18,563.0,square2,f,0.0864,1,N,9.0
NS9,13.0,32.0,8.0,58.0,56.0,56,619.0,square4,j,0.5463,3,N,9.0
