block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,99999,0.0,invalid,,,-1,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0,0.0,square3,,,2,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,0,100.0,square2,,,1,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,0,100.0,square4,,,3,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,0,100.0,square3,,,2,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,0,200.0,square3,,,2,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,0,200.0,square2,,,1,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,0,200.0,square4,,,3,p,0.0
NS2,0.0,44.0,66.0,42.0,38.0,66,66.0,square2,r,1.3397,1,N,2.0
NS2,1.0,44.0,66.0,47.0,43.0,47,113.0,square3,f,0.3677,2,N,2.0
NS2,2.0,42.0,62.0,53.0,43.0,42,155.0,square1,i,0.2963,0,N,2.0
NS2,3.0,46.0,58.0,48.0,46.0,46,201.0,square4,j,0.2668,3,N,2.0
NS2,4.0,47.0,61.0,51.0,42.0,61,262.0,square2,r,0.2816,1,N,2.0
NS2,5.0,51.0,58.0,50.0,50.0,50,312.0,square3,f,0.4753,2,N,2.0
NS2,6.0,52.0,58.0,43.0,48.0,52,364.0,square1,i,0.1331,0,N,2.0
NS2,7.0,50.0,52.0,43.0,50.0,50,414.0,square4,j,0.1469,3,N,2.0
NS2,8.0,54.0,58.0,41.0,46.0,46,460.0,square4,j,0.162,3,N,2.0
NS2,9.0,52.0,59.0,42.0,46.0,52,512.0,square1,i,0.2071,0,N,2.0
NS2,10.0,50.0,52.0,37.0,48.0,52,564.0,square2,r,0.2431,1,N,2.0
NS2,11.0,45.0,56.0,38.0,43.0,45,609.0,square1,i,0.2348,0,N,2.0
NS2,12.0,50.0,56.0,37.0,48.0,37,646.0,square3,f,0.063,2,N,2.0
NS2,13.0,47.0,63.0,36.0,49.0,47,693.0,square1,i,0.0667,0,N,2.0
NS2,14.0,51.0,56.0,39.0,49.0,49,742.0,square4,j,0.2029,3,N,2.0
NS2,15.0,46.0,64.0,39.0,50.0,64,806.0,square2,r,0.0644,1,N,2.0
NS2,16.0,51.0,61.0,37.0,47.0,51,857.0,square1,i,0.0959,0,N,2.0
NS2,17.0,59.0,68.0,46.0,53.0,68,925.0,square2,r,0.0421,1,N,2.0
NS2,18.0,53.0,65.0,42.0,49.0,65,990.0,square2,r,0.1009,1,N,2.0
