block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,0,0.0,square2,,,1,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0,0.0,square3,,,2,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,0,100.0,square4,,,3,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100,300.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100,400.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100,500.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100,600.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,0,600.0,square3,,,2,p,0.0
S6,0.0,40.0,29.0,39.0,26.0,29,29.0,square2,i,0.7916,1,S,6.0
S6,1.0,34.0,40.0,31.0,25.0,25,54.0,square4,r,0.1688,3,S,6.0
S6,2.0,37.0,31.0,25.0,30.0,37,91.0,square1,f,0.6058,0,S,6.0
S6,3.0,39.0,37.0,30.0,27.0,30,121.0,square3,j,0.3485,2,S,6.0
S6,4.0,42.0,40.0,28.0,32.0,42,163.0,square1,f,0.2854,0,S,6.0
S6,5.0,35.0,35.0,39.0,29.0,29,192.0,square4,r,0.3182,3,S,6.0
S6,6.0,48.0,30.0,37.0,33.0,48,240.0,square1,f,0.2419,0,S,6.0
S6,7.0,47.0,34.0,31.0,29.0,47,287.0,square1,f,0.1609,0,S,6.0
S6,8.0,43.0,35.0,30.0,25.0,43,330.0,square1,f,0.0505,0,S,6.0
S6,9.0,36.0,38.0,35.0,35.0,36,366.0,square1,f,0.0778,0,S,6.0
S6,10.0,38.0,35.0,31.0,21.0,35,401.0,square2,i,0.4941,1,S,6.0
S6,11.0,30.0,36.0,31.0,20.0,20,421.0,square4,r,0.2595,3,S,6.0
S6,12.0,37.0,40.0,33.0,22.0,33,454.0,square3,j,0.1334,2,S,6.0
S6,13.0,32.0,41.0,35.0,29.0,32,486.0,square1,f,0.152,0,S,6.0
S6,14.0,41.0,29.0,30.0,32.0,41,527.0,square1,f,0.127,0,S,6.0
S6,15.0,43.0,37.0,31.0,27.0,43,570.0,square1,f,0.1034,0,S,6.0
S6,16.0,34.0,34.0,35.0,31.0,34,604.0,square1,f,0.0518,0,S,6.0
S6,17.0,47.0,40.0,29.0,28.0,47,651.0,square1,f,0.0009,0,S,6.0
S6,18.0,37.0,38.0,34.0,35.0,37,688.0,square1,f,0.0009,0,S,6.0
S6,19.0,36.0,39.0,31.0,26.0,36,724.0,square1,f,0.0827,0,S,6.0
S6,20.0,44.0,40.0,31.0,25.0,44,768.0,square1,f,0.0416,0,S,6.0
S6,21.0,39.0,41.0,35.0,24.0,39,807.0,square1,f,0.0342,0,S,6.0
S6,22.0,41.0,38.0,41.0,31.0,41,848.0,square1,f,0.0414,0,S,6.0
S6,23.0,37.0,31.0,30.0,32.0,37,885.0,square1,f,0.6059,0,S,6.0
S6,24.0,48.0,34.0,34.0,21.0,34,919.0,square2,i,0.2018,1,S,6.0
S6,25.0,42.0,45.0,26.0,29.0,42,961.0,square1,f,0.0892,0,S,6.0
S6,26.0,40.0,39.0,36.0,28.0,40,1001.0,square1,f,0.088,0,S,6.0
S6,27.0,42.0,33.0,29.0,29.0,42,1043.0,square1,f,0.0847,0,S,6.0
S6,28.0,41.0,30.0,29.0,29.0,41,1084.0,square1,f,0.6663,0,S,6.0
S6,29.0,42.0,40.0,32.0,27.0,42,1126.0,square1,f,0.1875,0,S,6.0
S6,30.0,42.0,36.0,30.0,26.0,42,1168.0,square1,f,0.1017,0,S,6.0
S6,31.0,42.0,34.0,35.0,29.0,42,1210.0,square1,f,0.5068,0,S,6.0
S6,32.0,35.0,36.0,31.0,23.0,35,1245.0,square1,f,0.5049,0,S,6.0
S6,33.0,35.0,31.0,35.0,30.0,30,1275.0,square4,r,0.2674,3,S,6.0
S6,34.0,40.0,38.0,31.0,27.0,40,1315.0,square1,f,0.1434,0,S,6.0
S6,35.0,42.0,37.0,34.0,34.0,42,1357.0,square1,f,0.0375,0,S,6.0
S6,36.0,37.0,46.0,31.0,34.0,37,1394.0,square1,f,0.2025,0,S,6.0
S6,37.0,38.0,40.0,30.0,26.0,38,1432.0,square1,f,0.4112,0,S,6.0
S6,38.0,36.0,34.0,31.0,33.0,36,1468.0,square1,f,0.1595,0,S,6.0
S6,39.0,44.0,37.0,33.0,31.0,44,1512.0,square1,f,0.2663,0,S,6.0
S6,40.0,40.0,38.0,31.0,25.0,40,1552.0,square1,f,0.2503,0,S,6.0
S6,41.0,49.0,35.0,35.0,28.0,49,1601.0,square1,f,0.3173,0,S,6.0
S6,42.0,44.0,40.0,32.0,28.0,44,1645.0,square1,f,0.2837,0,S,6.0
S6,43.0,43.0,36.0,33.0,26.0,43,1688.0,square1,f,0.21,0,S,6.0
S6,44.0,38.0,33.0,34.0,26.0,38,1726.0,square1,f,0.2726,0,S,6.0
S6,45.0,32.0,35.0,30.0,28.0,32,1758.0,square1,f,0.2162,0,S,6.0
S6,46.0,38.0,36.0,34.0,30.0,38,1796.0,square1,f,0.2601,0,S,6.0
S6,47.0,44.0,35.0,32.0,31.0,44,1840.0,square1,f,0.235,0,S,6.0
S6,48.0,40.0,40.0,31.0,33.0,31,1871.0,square3,j,0.2502,2,S,6.0
S6,49.0,41.0,29.0,29.0,29.0,41,1912.0,square1,f,0.2174,0,S,6.0
S12,0.0,38.0,42.0,30.0,42.0,30,30.0,square3,r,0.8998,2,S,12.0
S12,1.0,30.0,42.0,28.0,37.0,28,58.0,square3,r,0.2768,2,S,12.0
S12,2.0,34.0,41.0,38.0,43.0,34,92.0,square1,i,0.0712,0,S,12.0
S12,3.0,38.0,51.0,38.0,38.0,38,130.0,square4,f,0.1834,3,S,12.0
S12,4.0,32.0,37.0,33.0,45.0,37,167.0,square2,j,0.2506,1,S,12.0
S12,5.0,38.0,52.0,36.0,35.0,35,202.0,square4,f,0.0343,3,S,12.0
S12,6.0,30.0,43.0,30.0,38.0,30,232.0,square1,i,0.1515,0,S,12.0
S12,7.0,38.0,39.0,30.0,39.0,39,271.0,square2,j,0.0411,1,S,12.0
S12,8.0,37.0,49.0,35.0,38.0,35,306.0,square3,r,0.2003,2,S,12.0
S12,9.0,37.0,44.0,29.0,38.0,44,350.0,square2,j,0.1207,1,S,12.0
S12,10.0,35.0,42.0,30.0,45.0,30,380.0,square3,r,0.1341,2,S,12.0
S12,11.0,34.0,45.0,36.0,32.0,32,412.0,square4,f,0.0835,3,S,12.0
S12,12.0,33.0,45.0,35.0,42.0,33,445.0,square1,i,0.1122,0,S,12.0
S12,13.0,36.0,36.0,29.0,40.0,29,474.0,square3,r,0.0008,2,S,12.0
S12,14.0,36.0,49.0,32.0,42.0,49,523.0,square2,j,0.0009,1,S,12.0
S12,15.0,35.0,43.0,35.0,46.0,35,558.0,square1,i,0.0862,0,S,12.0
S12,16.0,39.0,48.0,41.0,43.0,48,606.0,square2,j,0.0334,1,S,12.0
S12,17.0,35.0,47.0,27.0,38.0,47,653.0,square2,j,0.1662,1,S,12.0
S12,18.0,37.0,51.0,33.0,33.0,51,704.0,square2,j,0.0057,1,S,12.0
S12,19.0,41.0,42.0,33.0,36.0,42,746.0,square2,j,0.0168,1,S,12.0
S12,20.0,34.0,44.0,26.0,41.0,44,790.0,square2,j,0.0251,1,S,12.0
S12,21.0,35.0,37.0,29.0,35.0,37,827.0,square2,j,0.0171,1,S,12.0
S12,22.0,37.0,48.0,31.0,41.0,41,868.0,square4,f,0.1175,3,S,12.0
S12,23.0,36.0,43.0,27.0,45.0,45,913.0,square4,f,0.0676,3,S,12.0
S12,24.0,39.0,48.0,38.0,38.0,38,951.0,square4,f,0.1352,3,S,12.0
S12,25.0,31.0,43.0,30.0,40.0,31,982.0,square1,i,0.045,0,S,12.0
S12,26.0,35.0,48.0,34.0,33.0,48,1030.0,square2,j,0.2268,1,S,12.0
S12,27.0,46.0,46.0,28.0,38.0,46,1076.0,square2,j,0.2676,1,S,12.0
S12,28.0,32.0,37.0,32.0,40.0,37,1113.0,square2,j,0.2672,1,S,12.0
S12,29.0,38.0,41.0,32.0,44.0,32,1145.0,square3,r,0.0525,2,S,12.0
S12,30.0,32.0,48.0,29.0,42.0,32,1177.0,square1,i,0.1675,0,S,12.0
S12,31.0,34.0,46.0,30.0,42.0,42,1219.0,square4,f,0.0945,3,S,12.0
S12,32.0,39.0,43.0,41.0,40.0,43,1262.0,square2,j,0.1258,1,S,12.0
S12,33.0,36.0,47.0,33.0,46.0,47,1309.0,square2,j,0.0956,1,S,12.0
S12,34.0,36.0,41.0,34.0,41.0,41,1350.0,square2,j,0.1428,1,S,12.0
S12,35.0,34.0,42.0,31.0,43.0,42,1392.0,square2,j,0.1004,1,S,12.0
S12,36.0,39.0,43.0,26.0,33.0,43,1435.0,square2,j,0.0847,1,S,12.0
S12,37.0,39.0,49.0,30.0,42.0,49,1484.0,square2,j,0.0178,1,S,12.0
S12,38.0,33.0,47.0,36.0,41.0,47,1531.0,square2,j,0.0755,1,S,12.0
S12,39.0,29.0,46.0,35.0,36.0,46,1577.0,square2,j,0.0417,1,S,12.0
S12,40.0,39.0,39.0,29.0,36.0,39,1616.0,square2,j,0.0058,1,S,12.0
S12,41.0,33.0,44.0,31.0,40.0,44,1660.0,square2,j,0.0537,1,S,12.0
S12,42.0,34.0,46.0,25.0,37.0,46,1706.0,square2,j,0.1837,1,S,12.0
S12,43.0,37.0,42.0,30.0,42.0,37,1743.0,square1,i,0.2503,0,S,12.0
S12,44.0,33.0,49.0,36.0,39.0,49,1792.0,square2,j,0.1768,1,S,12.0
S12,45.0,35.0,40.0,30.0,47.0,47,1839.0,square4,f,0.017,3,S,12.0
S12,46.0,40.0,41.0,29.0,35.0,35,1874.0,square4,f,0.2668,3,S,12.0
S12,47.0,32.0,42.0,28.0,43.0,42,1916.0,square2,j,0.1008,1,S,12.0
S12,48.0,43.0,47.0,31.0,38.0,47,1963.0,square2,j,0.1749,1,S,12.0
S12,49.0,37.0,41.0,35.0,40.0,41,2004.0,square2,j,0.0524,1,S,12.0
S11,0.0,49.0,53.0,49.0,45.0,53,53.0,square2,i,0.8293,1,S,11.0
S11,1.0,54.0,56.0,42.0,50.0,56,109.0,square2,i,0.0608,1,S,11.0
S11,2.0,39.0,51.0,39.0,43.0,51,160.0,square2,i,0.1535,1,S,11.0
S11,3.0,53.0,50.0,38.0,43.0,38,198.0,square3,f,0.0423,2,S,11.0
S11,4.0,47.0,54.0,39.0,48.0,48,246.0,square4,j,0.1441,3,S,11.0
S11,5.0,47.0,52.0,40.0,46.0,47,293.0,square1,r,0.1333,0,S,11.0
S11,6.0,47.0,46.0,44.0,54.0,54,347.0,square4,j,0.0445,3,S,11.0
S11,7.0,48.0,51.0,35.0,51.0,51,398.0,square4,j,0.1546,3,S,11.0
S11,8.0,52.0,49.0,36.0,43.0,49,447.0,square2,i,0.004,1,S,11.0
S11,9.0,47.0,53.0,41.0,55.0,53,500.0,square2,i,0.0742,1,S,11.0
S11,10.0,44.0,48.0,41.0,43.0,43,543.0,square4,j,0.0848,3,S,11.0
S11,11.0,41.0,54.0,38.0,43.0,54,597.0,square2,i,0.1031,1,S,11.0
S11,12.0,45.0,54.0,44.0,45.0,54,651.0,square2,i,0.1905,1,S,11.0
S11,13.0,54.0,52.0,44.0,50.0,52,703.0,square2,i,0.1519,1,S,11.0
S11,14.0,57.0,58.0,36.0,45.0,36,739.0,square3,f,0.5164,2,S,11.0
S11,15.0,48.0,54.0,43.0,49.0,54,793.0,square2,i,0.1517,1,S,11.0
S11,16.0,58.0,47.0,42.0,46.0,47,840.0,square2,i,0.0088,1,S,11.0
S11,17.0,41.0,61.0,42.0,53.0,61,901.0,square2,i,0.6385,1,S,11.0
S11,18.0,51.0,58.0,33.0,39.0,58,959.0,square2,i,0.4574,1,S,11.0
S11,19.0,48.0,49.0,37.0,42.0,49,1008.0,square2,i,0.1173,1,S,11.0
S11,20.0,52.0,52.0,45.0,46.0,46,1054.0,square4,j,0.0738,3,S,11.0
S11,21.0,47.0,53.0,44.0,51.0,53,1107.0,square2,i,0.284,1,S,11.0
S11,22.0,49.0,54.0,37.0,41.0,41,1148.0,square4,j,0.2566,3,S,11.0
S11,23.0,52.0,54.0,41.0,45.0,45,1193.0,square4,j,1.7827,3,S,11.0
S11,24.0,42.0,56.0,41.0,45.0,45,1238.0,square4,j,0.5836,3,S,11.0
S11,25.0,52.0,56.0,42.0,44.0,44,1282.0,square4,j,0.1041,3,S,11.0
S11,26.0,43.0,56.0,41.0,45.0,56,1338.0,square2,i,0.167,1,S,11.0
S11,27.0,48.0,50.0,40.0,43.0,50,1388.0,square2,i,0.1003,1,S,11.0
S11,28.0,46.0,49.0,38.0,48.0,49,1437.0,square2,i,0.4607,1,S,11.0
S11,29.0,46.0,55.0,40.0,42.0,55,1492.0,square2,i,0.0008,1,S,11.0
S11,30.0,46.0,56.0,43.0,37.0,56,1548.0,square2,i,0.2836,1,S,11.0
S11,31.0,42.0,49.0,44.0,42.0,49,1597.0,square2,i,0.0036,1,S,11.0
S11,32.0,51.0,52.0,36.0,40.0,52,1649.0,square2,i,0.0101,1,S,11.0
S11,33.0,44.0,53.0,39.0,43.0,53,1702.0,square2,i,0.0343,1,S,11.0
S11,34.0,52.0,52.0,43.0,49.0,52,1754.0,square2,i,0.1568,1,S,11.0
S11,35.0,53.0,51.0,38.0,45.0,51,1805.0,square2,i,0.1988,1,S,11.0
S11,36.0,50.0,44.0,42.0,48.0,44,1849.0,square2,i,0.1366,1,S,11.0
S11,37.0,49.0,51.0,40.0,48.0,51,1900.0,square2,i,0.4346,1,S,11.0
S11,38.0,47.0,47.0,39.0,38.0,47,1947.0,square2,i,0.4228,1,S,11.0
S11,39.0,51.0,55.0,40.0,42.0,40,1987.0,square3,f,0.3664,2,S,11.0
S11,40.0,50.0,52.0,41.0,44.0,52,2039.0,square2,i,0.1224,1,S,11.0
S11,41.0,47.0,50.0,46.0,50.0,50,2089.0,square2,i,0.1516,1,S,11.0
S11,42.0,52.0,48.0,41.0,47.0,48,2137.0,square2,i,0.0007,1,S,11.0
S11,43.0,50.0,56.0,34.0,42.0,56,2193.0,square2,i,0.4555,1,S,11.0
S11,44.0,42.0,48.0,37.0,49.0,48,2241.0,square2,i,0.2503,1,S,11.0
S11,45.0,47.0,47.0,41.0,40.0,47,2288.0,square1,r,0.1,0,S,11.0
S11,46.0,50.0,56.0,40.0,44.0,50,2338.0,square1,r,0.002,0,S,11.0
S11,47.0,46.0,48.0,38.0,47.0,46,2384.0,square1,r,0.0365,0,S,11.0
S11,48.0,45.0,54.0,44.0,41.0,45,2429.0,square1,r,0.1163,0,S,11.0
S11,49.0,44.0,53.0,41.0,41.0,53,2482.0,square2,i,0.1002,1,S,11.0
S9,0.0,36.0,36.0,32.0,32.0,32,32.0,square4,r,1.0542,3,S,9.0
S9,1.0,40.0,29.0,36.0,24.0,40,72.0,square1,i,0.0178,0,S,9.0
S9,2.0,31.0,43.0,22.0,29.0,22,94.0,square3,j,0.1293,2,S,9.0
S9,3.0,41.0,33.0,28.0,27.0,33,127.0,square2,f,0.1187,1,S,9.0
S9,4.0,34.0,29.0,32.0,31.0,32,159.0,square3,j,0.2932,2,S,9.0
S9,5.0,41.0,32.0,22.0,29.0,22,181.0,square3,j,0.1192,2,S,9.0
S9,6.0,44.0,30.0,21.0,28.0,30,211.0,square2,f,0.079,1,S,9.0
S9,7.0,39.0,37.0,26.0,24.0,39,250.0,square1,i,0.1006,0,S,9.0
S9,8.0,41.0,33.0,23.0,20.0,41,291.0,square1,i,0.2663,0,S,9.0
S9,9.0,30.0,35.0,24.0,27.0,27,318.0,square4,r,0.0009,3,S,9.0
S9,10.0,41.0,29.0,23.0,28.0,41,359.0,square1,i,0.2017,0,S,9.0
S9,11.0,37.0,38.0,22.0,33.0,38,397.0,square2,f,0.1509,1,S,9.0
S9,12.0,35.0,31.0,27.0,32.0,31,428.0,square2,f,0.2344,1,S,9.0
S9,13.0,38.0,37.0,30.0,29.0,30,458.0,square3,j,0.161,2,S,9.0
S9,14.0,36.0,38.0,30.0,37.0,36,494.0,square1,i,0.0008,0,S,9.0
S9,15.0,40.0,29.0,27.0,24.0,40,534.0,square1,i,0.0168,0,S,9.0
S9,16.0,33.0,37.0,29.0,28.0,33,567.0,square1,i,0.1722,0,S,9.0
S9,17.0,41.0,32.0,36.0,31.0,41,608.0,square1,i,0.0099,0,S,9.0
S9,18.0,39.0,26.0,16.0,35.0,39,647.0,square1,i,0.1268,0,S,9.0
S9,19.0,35.0,30.0,23.0,27.0,35,682.0,square1,i,0.3411,0,S,9.0
S9,20.0,39.0,34.0,23.0,29.0,39,721.0,square1,i,0.1404,0,S,9.0
S9,21.0,35.0,37.0,28.0,31.0,35,756.0,square1,i,0.0172,0,S,9.0
S9,22.0,37.0,30.0,23.0,38.0,37,793.0,square1,i,0.133,0,S,9.0
S9,23.0,37.0,34.0,27.0,34.0,37,830.0,square1,i,0.0233,0,S,9.0
S9,24.0,31.0,34.0,26.0,27.0,31,861.0,square1,i,0.0502,0,S,9.0
S9,25.0,38.0,40.0,29.0,24.0,38,899.0,square1,i,0.1007,0,S,9.0
S9,26.0,43.0,31.0,21.0,24.0,43,942.0,square1,i,0.0609,0,S,9.0
S9,27.0,30.0,31.0,23.0,28.0,30,972.0,square1,i,0.0503,0,S,9.0
