block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,0.0,0.0,square4,,,3,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0.0,0.0,square2,,,1,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,0.0,0.0,square3,,,2,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,100.0,100.0,square1,,,0,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,100.0,200.0,square1,,,0,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100.0,300.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100.0,400.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100.0,500.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100.0,600.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100.0,700.0,square1,,,0,p,0.0
V5,0.0,46.0,21.0,37.0,28.0,21.0,21.0,square2,i,0.4711,1,V,5.0
V5,1.0,43.0,27.0,36.0,31.0,43.0,64.0,square1,r,0.3595,0,V,5.0
V5,2.0,50.0,18.0,43.0,32.0,32.0,96.0,square4,j,0.2967,3,V,5.0
V5,3.0,53.0,23.0,36.0,34.0,53.0,149.0,square1,r,0.2788,0,V,5.0
V5,4.0,52.0,19.0,38.0,34.0,52.0,201.0,square1,r,0.2176,0,V,5.0
V5,5.0,50.0,22.0,41.0,29.0,41.0,242.0,square3,f,0.2366,2,V,5.0
V5,6.0,52.0,19.0,40.0,33.0,19.0,261.0,square2,i,0.1894,1,V,5.0
V5,7.0,48.0,24.0,36.0,27.0,48.0,309.0,square1,r,0.2357,0,V,5.0
V5,8.0,50.0,24.0,35.0,33.0,33.0,342.0,square4,j,1.046,3,V,5.0
V5,9.0,48.0,25.0,39.0,34.0,48.0,390.0,square1,r,0.0478,0,V,5.0
V5,10.0,52.0,19.0,32.0,34.0,19.0,409.0,square2,i,0.282,1,V,5.0
V5,11.0,48.0,22.0,32.0,32.0,32.0,441.0,square3,f,0.4205,2,V,5.0
V5,12.0,47.0,17.0,43.0,29.0,47.0,488.0,square1,r,0.2652,0,V,5.0
V5,13.0,46.0,21.0,42.0,29.0,29.0,517.0,square4,j,0.3395,3,V,5.0
V5,14.0,47.0,28.0,42.0,28.0,47.0,564.0,square1,r,0.2755,0,V,5.0
V5,15.0,50.0,29.0,38.0,36.0,50.0,614.0,square1,r,0.1609,0,V,5.0
V5,16.0,49.0,24.0,36.0,34.0,49.0,663.0,square1,r,0.2074,0,V,5.0
V5,17.0,50.0,20.0,38.0,35.0,50.0,713.0,square1,r,0.1273,0,V,5.0
V5,18.0,49.0,22.0,46.0,29.0,46.0,759.0,square3,f,0.2243,2,V,5.0
V5,19.0,46.0,23.0,40.0,31.0,46.0,805.0,square1,r,0.1441,0,V,5.0
V5,20.0,51.0,22.0,41.0,28.0,22.0,827.0,square2,i,0.2883,1,V,5.0
V5,21.0,51.0,26.0,36.0,31.0,51.0,878.0,square1,r,0.2291,0,V,5.0
V5,22.0,47.0,18.0,41.0,28.0,28.0,906.0,square4,j,0.2723,3,V,5.0
V5,23.0,52.0,20.0,36.0,29.0,20.0,926.0,square2,i,0.2202,1,V,5.0
V5,24.0,51.0,21.0,41.0,34.0,51.0,977.0,square1,r,0.3545,0,V,5.0
V5,25.0,50.0,20.0,41.0,27.0,41.0,1018.0,square3,f,0.2445,2,V,5.0
V5,26.0,49.0,29.0,37.0,28.0,49.0,1067.0,square1,r,0.129,0,V,5.0
V5,27.0,10.0,13.0,42.0,32.0,10.0,1077.0,square1,r,0.2639,0,V,5.0
V5,28.0,9.0,19.0,40.0,27.0,40.0,1117.0,square3,f,0.4169,2,V,5.0
V5,29.0,17.0,17.0,38.0,29.0,29.0,1146.0,square4,j,0.1177,3,V,5.0
V5,30.0,8.0,18.0,36.0,29.0,18.0,1164.0,square2,i,0.2346,1,V,5.0
V5,31.0,16.0,24.0,34.0,29.0,34.0,1198.0,square3,f,0.1963,2,V,5.0
V5,32.0,9.0,17.0,35.0,31.0,9.0,1207.0,square1,r,0.0762,0,V,5.0
V5,33.0,11.0,19.0,36.0,28.0,36.0,1243.0,square3,f,0.4802,2,V,5.0
V5,34.0,10.0,19.0,38.0,28.0,28.0,1271.0,square4,j,0.0858,3,V,5.0
V5,35.0,5.0,23.0,40.0,34.0,23.0,1294.0,square2,i,0.1306,1,V,5.0
V5,36.0,17.0,20.0,36.0,31.0,36.0,1330.0,square3,f,0.1132,2,V,5.0
V5,37.0,12.0,13.0,36.0,30.0,30.0,1360.0,square4,j,0.0713,3,V,5.0
V5,38.0,14.0,24.0,35.0,27.0,35.0,1395.0,square3,f,0.0672,2,V,5.0
V5,39.0,13.0,20.0,39.0,32.0,13.0,1408.0,square1,r,0.0025,0,V,5.0
V5,40.0,9.0,15.0,37.0,24.0,24.0,1432.0,square4,j,0.3772,3,V,5.0
V5,41.0,9.0,14.0,38.0,31.0,38.0,1470.0,square3,f,0.1345,2,V,5.0
V5,42.0,14.0,17.0,43.0,31.0,14.0,1484.0,square1,r,0.0638,0,V,5.0
V5,43.0,10.0,18.0,39.0,23.0,18.0,1502.0,square2,i,0.2927,1,V,5.0
V5,44.0,10.0,20.0,33.0,32.0,33.0,1535.0,square3,f,0.0174,2,V,5.0
V5,45.0,16.0,17.0,37.0,29.0,29.0,1564.0,square4,j,0.0017,3,V,5.0
V5,46.0,9.0,22.0,37.0,25.0,37.0,1601.0,square3,f,0.4059,2,V,5.0
V5,47.0,10.0,22.0,35.0,26.0,35.0,1636.0,square3,f,0.2315,2,V,5.0
V5,48.0,11.0,16.0,39.0,23.0,11.0,1647.0,square1,r,0.2097,0,V,5.0
V5,49.0,13.0,16.0,33.0,27.0,33.0,1680.0,square3,f,0.1745,2,V,5.0
V5,50.0,12.0,16.0,39.0,24.0,16.0,1696.0,square2,i,0.2135,1,V,5.0
V5,51.0,10.0,21.0,43.0,28.0,43.0,1739.0,square3,f,0.1441,2,V,5.0
V5,52.0,8.0,15.0,36.0,28.0,28.0,1767.0,square4,j,0.1392,3,V,5.0
V5,53.0,38.0,20.0,31.0,54.0,31.0,1798.0,square3,f,0.1892,2,V,5.0
V5,54.0,39.0,20.0,35.0,51.0,39.0,1837.0,square1,r,0.155,0,V,5.0
V5,55.0,41.0,21.0,27.0,50.0,27.0,1864.0,square3,f,0.2057,2,V,5.0
V5,56.0,39.0,23.0,28.0,49.0,39.0,1903.0,square1,r,0.2378,0,V,5.0
V5,57.0,36.0,28.0,29.0,59.0,36.0,1939.0,square1,r,0.1302,0,V,5.0
V5,58.0,38.0,22.0,28.0,49.0,38.0,1977.0,square1,r,0.1981,0,V,5.0
V5,59.0,44.0,23.0,30.0,51.0,44.0,2021.0,square1,r,0.1159,0,V,5.0
V5,60.0,43.0,21.0,31.0,48.0,43.0,2064.0,square1,r,0.1376,0,V,5.0
V5,61.0,39.0,24.0,35.0,50.0,39.0,2103.0,square1,r,0.1814,0,V,5.0
V5,62.0,38.0,25.0,31.0,52.0,38.0,2141.0,square1,r,0.1998,0,V,5.0
V5,63.0,41.0,14.0,31.0,52.0,41.0,2182.0,square1,r,0.1686,0,V,5.0
V5,64.0,43.0,23.0,30.0,51.0,43.0,2225.0,square1,r,0.2173,0,V,5.0
V5,65.0,41.0,23.0,35.0,52.0,41.0,2266.0,square1,r,0.1536,0,V,5.0
V5,66.0,41.0,17.0,33.0,47.0,41.0,2307.0,square1,r,0.0588,0,V,5.0
V5,67.0,44.0,23.0,32.0,49.0,44.0,2351.0,square1,r,0.1877,0,V,5.0
V5,68.0,44.0,24.0,31.0,44.0,44.0,2395.0,square1,r,0.1801,0,V,5.0
V5,69.0,43.0,28.0,27.0,48.0,43.0,2438.0,square1,r,0.0994,0,V,5.0
V5,70.0,38.0,22.0,26.0,50.0,38.0,2476.0,square1,r,0.0655,0,V,5.0
