block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,0,0.0,square4,,,3,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,0,100.0,square2,,,1,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,0,100.0,square3,,,2,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,0,100.0,square2,,,1,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100,300.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100,400.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100,500.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100,600.0,square1,,,0,p,0.0
V7,0.0,86.0,61.0,78.0,68.0,99999,0.0,invalid,,,-1,V,7.0
V7,1.0,95.0,62.0,79.0,70.0,79,79.0,square3,r,1.2636,2,V,7.0
V7,2.0,89.0,67.0,81.0,77.0,81,160.0,square3,r,0.5887,2,V,7.0
V7,3.0,90.0,56.0,85.0,72.0,85,245.0,square3,r,0.2764,2,V,7.0
V7,4.0,91.0,65.0,77.0,71.0,65,310.0,square2,f,0.3037,1,V,7.0
V7,5.0,91.0,58.0,84.0,72.0,84,394.0,square3,r,0.0411,2,V,7.0
V7,6.0,94.0,65.0,87.0,72.0,72,466.0,square4,j,0.444,3,V,7.0
V7,7.0,89.0,67.0,79.0,67.0,79,545.0,square3,r,0.2477,2,V,7.0
V7,8.0,91.0,65.0,84.0,68.0,65,610.0,square2,f,0.4229,1,V,7.0
V7,9.0,92.0,60.0,87.0,69.0,92,702.0,square1,i,0.6447,0,V,7.0
V7,10.0,90.0,67.0,81.0,76.0,90,792.0,square1,i,0.2444,0,V,7.0
V7,11.0,86.0,67.0,83.0,73.0,86,878.0,square1,i,0.2618,0,V,7.0
V7,12.0,90.0,62.0,80.0,72.0,90,968.0,square1,i,0.3772,0,V,7.0
V7,13.0,84.0,60.0,88.0,71.0,84,1052.0,square1,i,0.2144,0,V,7.0
V7,14.0,95.0,64.0,80.0,70.0,95,1147.0,square1,i,0.2625,0,V,7.0
V7,15.0,86.0,60.0,81.0,70.0,86,1233.0,square1,i,0.0889,0,V,7.0
V7,16.0,85.0,65.0,77.0,69.0,77,1310.0,square3,r,0.7162,2,V,7.0
