block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,99999,0.0,invalid,,,-1,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0,0.0,square4,,,3,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,0,100.0,square3,,,2,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,0,100.0,square2,,,1,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100,300.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100,400.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100,500.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100,600.0,square1,,,0,p,0.0
V9,0.0,20.0,29.0,37.0,45.0,37,37.0,square3,r,0.9747,2,V,9.0
V9,1.0,21.0,32.0,39.0,45.0,32,69.0,square2,i,0.6009,1,V,9.0
V9,2.0,16.0,27.0,41.0,48.0,16,85.0,square1,f,0.2756,0,V,9.0
V9,3.0,20.0,30.0,42.0,50.0,50,135.0,square4,j,0.1326,3,V,9.0
V9,4.0,22.0,34.0,37.0,47.0,47,182.0,square4,j,0.1099,3,V,9.0
V9,5.0,17.0,32.0,38.0,49.0,49,231.0,square4,j,0.1591,3,V,9.0
V9,6.0,17.0,25.0,39.0,47.0,17,248.0,square1,f,0.1565,0,V,9.0
V9,7.0,22.0,28.0,33.0,48.0,33,281.0,square3,r,0.4954,2,V,9.0
V9,8.0,20.0,24.0,34.0,41.0,24,305.0,square2,i,0.3268,1,V,9.0
V9,9.0,20.0,33.0,30.0,51.0,51,356.0,square4,j,0.0431,3,V,9.0
V9,10.0,21.0,35.0,38.0,50.0,50,406.0,square4,j,0.122,3,V,9.0
V9,11.0,19.0,29.0,44.0,45.0,45,451.0,square4,j,0.0023,3,V,9.0
V9,12.0,27.0,24.0,38.0,54.0,54,505.0,square4,j,0.0921,3,V,9.0
V9,13.0,15.0,26.0,37.0,50.0,50,555.0,square4,j,0.037,3,V,9.0
V9,14.0,24.0,26.0,39.0,42.0,42,597.0,square4,j,0.0262,3,V,9.0
V9,15.0,26.0,27.0,43.0,49.0,49,646.0,square4,j,0.018,3,V,9.0
V9,16.0,19.0,30.0,42.0,49.0,19,665.0,square1,f,0.0619,0,V,9.0
V9,17.0,21.0,30.0,34.0,49.0,49,714.0,square4,j,0.1088,3,V,9.0
V9,18.0,25.0,33.0,41.0,51.0,51,765.0,square4,j,0.0604,3,V,9.0
V9,19.0,17.0,31.0,41.0,45.0,45,810.0,square4,j,0.01,3,V,9.0
V9,20.0,19.0,31.0,34.0,49.0,49,859.0,square4,j,0.0009,3,V,9.0
V9,21.0,23.0,29.0,37.0,48.0,48,907.0,square4,j,0.0754,3,V,9.0
V9,22.0,15.0,32.0,36.0,48.0,48,955.0,square4,j,0.0432,3,V,9.0
V9,23.0,25.0,33.0,39.0,47.0,47,1002.0,square4,j,0.0396,3,V,9.0
V9,24.0,21.0,30.0,38.0,52.0,52,1054.0,square4,j,0.031,3,V,9.0
V9,25.0,25.0,29.0,42.0,48.0,48,1102.0,square4,j,0.0999,3,V,9.0
V9,26.0,22.0,29.0,39.0,47.0,47,1149.0,square4,j,1.4629,3,V,9.0
V9,27.0,17.0,31.0,45.0,41.0,41,1190.0,square4,j,0.1268,3,V,9.0
V9,28.0,29.0,28.0,43.0,43.0,43,1233.0,square4,j,0.0126,3,V,9.0
V9,29.0,20.0,31.0,43.0,49.0,49,1282.0,square4,j,0.109,3,V,9.0
V9,30.0,23.0,33.0,39.0,48.0,39,1321.0,square3,r,0.0117,2,V,9.0
V9,31.0,20.0,27.0,38.0,53.0,53,1374.0,square4,j,0.1392,3,V,9.0
V9,32.0,23.0,29.0,37.0,49.0,49,1423.0,square4,j,0.0817,3,V,9.0
V9,33.0,24.0,33.0,37.0,49.0,49,1472.0,square4,j,0.0277,3,V,9.0
V9,34.0,43.0,58.0,48.0,30.0,30,1502.0,square4,j,0.0222,3,V,9.0
V9,35.0,48.0,59.0,45.0,34.0,34,1536.0,square4,j,0.0764,3,V,9.0
V9,36.0,39.0,56.0,54.0,32.0,32,1568.0,square4,j,0.0153,3,V,9.0
V9,37.0,40.0,57.0,50.0,35.0,35,1603.0,square4,j,0.0842,3,V,9.0
V9,38.0,49.0,62.0,51.0,33.0,62,1665.0,square2,i,0.06,1,V,9.0
V9,39.0,45.0,61.0,48.0,34.0,61,1726.0,square2,i,0.019,1,V,9.0
V9,40.0,40.0,65.0,51.0,29.0,65,1791.0,square2,i,0.0946,1,V,9.0
V9,41.0,44.0,57.0,50.0,38.0,57,1848.0,square2,i,0.0874,1,V,9.0
V9,42.0,40.0,57.0,49.0,33.0,57,1905.0,square2,i,0.1418,1,V,9.0
V9,43.0,42.0,64.0,54.0,35.0,54,1959.0,square3,r,0.2615,2,V,9.0
V9,44.0,44.0,55.0,49.0,39.0,55,2014.0,square2,i,0.1277,1,V,9.0
V9,45.0,37.0,66.0,51.0,35.0,66,2080.0,square2,i,0.0043,1,V,9.0
V9,46.0,40.0,59.0,51.0,32.0,40,2120.0,square1,f,0.0658,0,V,9.0
V9,47.0,38.0,62.0,57.0,31.0,62,2182.0,square2,i,0.1866,1,V,9.0
V9,48.0,43.0,61.0,54.0,34.0,61,2243.0,square2,i,0.064,1,V,9.0
V9,49.0,43.0,61.0,49.0,40.0,49,2292.0,square3,r,0.1961,2,V,9.0
V9,50.0,37.0,58.0,51.0,32.0,32,2324.0,square4,j,0.1417,3,V,9.0
V9,51.0,44.0,63.0,48.0,39.0,63,2387.0,square2,i,0.0006,1,V,9.0
V9,52.0,35.0,65.0,48.0,30.0,65,2452.0,square2,i,0.0648,1,V,9.0
V9,53.0,43.0,59.0,48.0,39.0,59,2511.0,square2,i,0.0706,1,V,9.0
V9,54.0,43.0,59.0,52.0,30.0,59,2570.0,square2,i,0.048,1,V,9.0
V9,55.0,41.0,58.0,51.0,34.0,58,2628.0,square2,i,0.1417,1,V,9.0
V9,56.0,44.0,63.0,50.0,33.0,63,2691.0,square2,i,0.1441,1,V,9.0
V9,57.0,42.0,60.0,49.0,32.0,60,2751.0,square2,i,0.0272,1,V,9.0
V9,58.0,44.0,62.0,57.0,30.0,62,2813.0,square2,i,0.0412,1,V,9.0
V9,59.0,45.0,61.0,45.0,31.0,61,2874.0,square2,i,0.063,1,V,9.0
V9,60.0,43.0,63.0,53.0,33.0,63,2937.0,square2,i,0.0007,1,V,9.0
V9,61.0,39.0,56.0,55.0,31.0,56,2993.0,square2,i,0.0954,1,V,9.0
V9,62.0,39.0,61.0,50.0,34.0,61,3054.0,square2,i,0.1146,1,V,9.0
V9,63.0,44.0,57.0,48.0,36.0,57,3111.0,square2,i,0.0255,1,V,9.0
V9,64.0,40.0,60.0,58.0,35.0,60,3171.0,square2,i,0.1369,1,V,9.0
V9,65.0,42.0,60.0,54.0,38.0,60,3231.0,square2,i,0.1267,1,V,9.0
V9,66.0,41.0,60.0,54.0,37.0,54,3285.0,square3,r,0.0647,2,V,9.0
V9,67.0,43.0,61.0,54.0,40.0,61,3346.0,square2,i,0.0594,1,V,9.0
V9,68.0,45.0,40.0,26.0,18.0,40,3386.0,square2,i,0.0383,1,V,9.0
V9,69.0,50.0,41.0,29.0,20.0,20,3406.0,square4,j,0.0891,3,V,9.0
V9,70.0,43.0,36.0,27.0,15.0,43,3449.0,square1,f,0.0583,0,V,9.0
V9,71.0,44.0,40.0,28.0,18.0,28,3477.0,square3,r,0.0526,2,V,9.0
V9,72.0,42.0,38.0,27.0,18.0,42,3519.0,square1,f,0.1596,0,V,9.0
V9,73.0,46.0,33.0,25.0,19.0,19,3538.0,square4,j,0.0048,3,V,9.0
V9,74.0,47.0,40.0,28.0,20.0,40,3578.0,square2,i,0.1372,1,V,9.0
V9,75.0,39.0,39.0,27.0,25.0,27,3605.0,square3,r,0.5723,2,V,9.0
V9,76.0,50.0,31.0,29.0,23.0,50,3655.0,square1,f,0.0871,0,V,9.0
V9,77.0,44.0,37.0,28.0,13.0,44,3699.0,square1,f,0.1161,0,V,9.0
V9,78.0,43.0,36.0,23.0,17.0,43,3742.0,square1,f,0.0749,0,V,9.0
V9,79.0,42.0,36.0,28.0,24.0,42,3784.0,square1,f,0.0522,0,V,9.0
V9,80.0,47.0,35.0,30.0,14.0,47,3831.0,square1,f,0.1043,0,V,9.0
V9,81.0,46.0,33.0,29.0,18.0,46,3877.0,square1,f,0.2054,0,V,9.0
V9,82.0,46.0,35.0,28.0,18.0,46,3923.0,square1,f,0.094,0,V,9.0
V9,83.0,47.0,41.0,32.0,15.0,47,3970.0,square1,f,0.0648,0,V,9.0
V9,84.0,45.0,38.0,31.0,18.0,45,4015.0,square1,f,0.0882,0,V,9.0
V9,85.0,42.0,35.0,30.0,21.0,42,4057.0,square1,f,0.1824,0,V,9.0
V9,86.0,49.0,39.0,23.0,18.0,39,4096.0,square2,i,0.3643,1,V,9.0
V9,87.0,49.0,39.0,27.0,16.0,49,4145.0,square1,f,0.0208,0,V,9.0
V9,88.0,45.0,38.0,25.0,14.0,25,4170.0,square3,r,0.7751,2,V,9.0
V9,89.0,45.0,32.0,28.0,19.0,45,4215.0,square1,f,0.4752,0,V,9.0
V9,90.0,44.0,35.0,29.0,20.0,20,4235.0,square4,j,0.1714,3,V,9.0
V9,91.0,42.0,38.0,32.0,16.0,42,4277.0,square1,f,0.2514,0,V,9.0
V9,92.0,45.0,36.0,23.0,20.0,45,4322.0,square1,f,0.0765,0,V,9.0
V9,93.0,45.0,35.0,26.0,18.0,45,4367.0,square1,f,0.172,0,V,9.0
V9,94.0,44.0,37.0,27.0,13.0,44,4411.0,square1,f,0.0007,0,V,9.0
V9,95.0,46.0,36.0,25.0,20.0,46,4457.0,square1,f,0.1382,0,V,9.0
V9,96.0,43.0,39.0,27.0,16.0,43,4500.0,square1,f,0.2055,0,V,9.0
V9,97.0,48.0,39.0,30.0,16.0,48,4548.0,square1,f,0.0419,0,V,9.0
V9,98.0,49.0,40.0,26.0,20.0,49,4597.0,square1,f,0.0918,0,V,9.0
V9,99.0,49.0,41.0,27.0,18.0,49,4646.0,square1,f,0.0759,0,V,9.0
V5,0.0,46.0,21.0,37.0,28.0,21,21.0,square2,r,0.6989,1,V,5.0
V5,1.0,43.0,27.0,36.0,31.0,43,64.0,square1,i,0.0633,0,V,5.0
V5,2.0,50.0,18.0,43.0,32.0,32,96.0,square4,f,0.0774,3,V,5.0
V5,3.0,53.0,23.0,36.0,34.0,36,132.0,square3,j,0.038,2,V,5.0
V5,4.0,52.0,19.0,38.0,34.0,52,184.0,square1,i,0.0095,0,V,5.0
V5,5.0,50.0,22.0,41.0,29.0,50,234.0,square1,i,0.0413,0,V,5.0
V5,6.0,52.0,19.0,40.0,33.0,52,286.0,square1,i,0.1604,0,V,5.0
V5,7.0,48.0,24.0,36.0,27.0,48,334.0,square1,i,0.0102,0,V,5.0
V5,8.0,50.0,24.0,35.0,33.0,50,384.0,square1,i,0.0263,0,V,5.0
V5,9.0,48.0,25.0,39.0,34.0,48,432.0,square1,i,0.0574,0,V,5.0
V5,10.0,52.0,19.0,32.0,34.0,52,484.0,square1,i,0.0008,0,V,5.0
V5,11.0,48.0,22.0,32.0,32.0,48,532.0,square1,i,0.0518,0,V,5.0
V5,12.0,47.0,17.0,43.0,29.0,47,579.0,square1,i,0.0568,0,V,5.0
V5,13.0,46.0,21.0,42.0,29.0,46,625.0,square1,i,0.1079,0,V,5.0
V5,14.0,47.0,28.0,42.0,28.0,47,672.0,square1,i,0.1267,0,V,5.0
V5,15.0,50.0,29.0,38.0,36.0,50,722.0,square1,i,0.2191,0,V,5.0
V5,16.0,49.0,24.0,36.0,34.0,49,771.0,square1,i,0.087,0,V,5.0
V5,17.0,50.0,20.0,38.0,35.0,50,821.0,square1,i,0.0934,0,V,5.0
V5,18.0,49.0,22.0,46.0,29.0,22,843.0,square2,r,0.1783,1,V,5.0
V5,19.0,46.0,23.0,40.0,31.0,46,889.0,square1,i,0.1632,0,V,5.0
V5,20.0,51.0,22.0,41.0,28.0,41,930.0,square3,j,0.414,2,V,5.0
V5,21.0,51.0,26.0,36.0,31.0,31,961.0,square4,f,0.5274,3,V,5.0
V5,22.0,47.0,18.0,41.0,28.0,47,1008.0,square1,i,0.1312,0,V,5.0
V5,23.0,52.0,20.0,36.0,29.0,52,1060.0,square1,i,0.0781,0,V,5.0
