block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,100.0,100.0,square1,,,0,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,100.0,200.0,square1,,,0,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,100.0,300.0,square1,,,0,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,100.0,400.0,square1,,,0,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,100.0,500.0,square1,,,0,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100.0,600.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100.0,700.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100.0,800.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100.0,900.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100.0,1000.0,square1,,,0,p,0.0
V9,0.0,20.0,29.0,37.0,45.0,29.0,29.0,square2,i,0.828,1,V,9.0
V9,1.0,21.0,32.0,39.0,45.0,39.0,68.0,square3,j,0.464,2,V,9.0
V9,2.0,16.0,27.0,41.0,48.0,48.0,116.0,square4,f,0.265,3,V,9.0
V9,3.0,20.0,30.0,42.0,50.0,20.0,136.0,square1,r,0.26,0,V,9.0
V9,4.0,22.0,34.0,37.0,47.0,47.0,183.0,square4,f,0.495,3,V,9.0
V9,5.0,17.0,32.0,38.0,49.0,38.0,221.0,square3,j,0.275,2,V,9.0
V9,6.0,17.0,25.0,39.0,47.0,47.0,268.0,square4,f,0.614,3,V,9.0
V9,7.0,22.0,28.0,33.0,48.0,48.0,316.0,square4,f,0.192,3,V,9.0
V9,8.0,20.0,24.0,34.0,41.0,41.0,357.0,square4,f,0.254,3,V,9.0
V9,9.0,20.0,33.0,30.0,51.0,30.0,387.0,square3,j,0.395,2,V,9.0
V9,10.0,21.0,35.0,38.0,50.0,35.0,422.0,square2,i,0.361,1,V,9.0
V9,11.0,19.0,29.0,44.0,45.0,19.0,441.0,square1,r,0.244,0,V,9.0
V9,12.0,27.0,24.0,38.0,54.0,54.0,495.0,square4,f,0.063,3,V,9.0
V9,13.0,15.0,26.0,37.0,50.0,50.0,545.0,square4,f,0.249,3,V,9.0
V9,14.0,24.0,26.0,39.0,42.0,42.0,587.0,square4,f,0.01,3,V,9.0
V9,15.0,26.0,27.0,43.0,49.0,49.0,636.0,square4,f,0.068,3,V,9.0
V9,16.0,19.0,30.0,42.0,49.0,49.0,685.0,square4,f,0.711,3,V,9.0
V9,17.0,21.0,30.0,34.0,49.0,49.0,734.0,square4,f,0.269,3,V,9.0
V9,18.0,25.0,33.0,41.0,51.0,51.0,785.0,square4,f,0.189,3,V,9.0
