block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,0,100.0,square2,,,1,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,0,100.0,square4,,,3,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,0,100.0,square3,,,2,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100,300.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100,400.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100,500.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100,600.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100,700.0,square1,,,0,p,0.0
V11,0.0,42.0,67.0,57.0,49.0,42,42.0,square1,r,1.0536,0,V,11.0
V11,1.0,42.0,71.0,60.0,53.0,60,102.0,square3,i,0.2717,2,V,11.0
V11,2.0,45.0,76.0,58.0,51.0,76,178.0,square2,j,0.3204,1,V,11.0
V11,3.0,44.0,65.0,60.0,49.0,49,227.0,square4,f,0.2082,3,V,11.0
V11,4.0,46.0,73.0,64.0,51.0,73,300.0,square2,j,0.118,1,V,11.0
V11,5.0,47.0,67.0,58.0,54.0,67,367.0,square2,j,0.0519,1,V,11.0
V11,6.0,43.0,68.0,58.0,50.0,58,425.0,square3,i,0.4258,2,V,11.0
V11,7.0,42.0,67.0,60.0,58.0,42,467.0,square1,r,0.2291,0,V,11.0
V11,8.0,44.0,67.0,60.0,53.0,67,534.0,square2,j,0.3419,1,V,11.0
V11,9.0,44.0,67.0,59.0,54.0,54,588.0,square4,f,0.063,3,V,11.0
V11,10.0,49.0,76.0,57.0,52.0,76,664.0,square2,j,0.4172,1,V,11.0
V11,11.0,45.0,71.0,58.0,51.0,71,735.0,square2,j,0.2723,1,V,11.0
V11,12.0,45.0,72.0,58.0,56.0,72,807.0,square2,j,0.1076,1,V,11.0
V11,13.0,49.0,67.0,63.0,54.0,67,874.0,square2,j,0.3404,1,V,11.0
V11,14.0,50.0,75.0,57.0,48.0,57,931.0,square3,i,0.0003,2,V,11.0
V11,15.0,40.0,71.0,61.0,51.0,40,971.0,square1,r,0.243,0,V,11.0
V11,16.0,47.0,72.0,56.0,54.0,72,1043.0,square2,j,0.4097,1,V,11.0
V11,17.0,40.0,71.0,61.0,46.0,46,1089.0,square4,f,0.1667,3,V,11.0
V11,18.0,44.0,69.0,59.0,51.0,69,1158.0,square2,j,0.2799,1,V,11.0
V11,19.0,44.0,73.0,59.0,47.0,73,1231.0,square2,j,0.2524,1,V,11.0
V11,20.0,47.0,69.0,64.0,54.0,69,1300.0,square2,j,0.3839,1,V,11.0
V11,21.0,78.0,49.0,70.0,65.0,70,1370.0,square3,i,0.0699,2,V,11.0
V11,22.0,78.0,56.0,73.0,62.0,56,1426.0,square2,j,0.161,1,V,11.0
V11,23.0,84.0,54.0,71.0,65.0,84,1510.0,square1,r,0.2916,0,V,11.0
V11,24.0,80.0,55.0,72.0,67.0,72,1582.0,square3,i,0.0648,2,V,11.0
V11,25.0,80.0,55.0,75.0,63.0,63,1645.0,square4,f,0.4098,3,V,11.0
V11,26.0,80.0,56.0,67.0,62.0,80,1725.0,square1,r,0.3056,0,V,11.0
V11,27.0,80.0,51.0,68.0,62.0,51,1776.0,square2,j,0.2433,1,V,11.0
V11,28.0,79.0,57.0,67.0,57.0,79,1855.0,square1,r,0.2987,0,V,11.0
V11,29.0,79.0,50.0,67.0,62.0,67,1922.0,square3,i,0.1266,2,V,11.0
V11,30.0,88.0,54.0,74.0,61.0,88,2010.0,square1,r,0.3473,0,V,11.0
V11,31.0,81.0,51.0,75.0,63.0,51,2061.0,square2,j,0.2224,1,V,11.0
V11,32.0,76.0,51.0,69.0,65.0,65,2126.0,square4,f,0.0557,3,V,11.0
V11,33.0,78.0,54.0,72.0,64.0,78,2204.0,square1,r,0.3336,0,V,11.0
V11,34.0,77.0,53.0,71.0,62.0,71,2275.0,square3,i,0.1255,2,V,11.0
V11,35.0,74.0,59.0,75.0,62.0,74,2349.0,square1,r,0.3907,0,V,11.0
V11,36.0,79.0,50.0,72.0,62.0,62,2411.0,square4,f,0.2576,3,V,11.0
V11,37.0,74.0,54.0,68.0,62.0,54,2465.0,square2,j,0.0914,1,V,11.0
V11,38.0,80.0,57.0,65.0,58.0,80,2545.0,square1,r,0.2297,0,V,11.0
V11,39.0,73.0,52.0,75.0,66.0,75,2620.0,square3,i,0.1278,2,V,11.0
V11,40.0,82.0,57.0,71.0,57.0,82,2702.0,square1,r,0.2849,0,V,11.0
V11,41.0,78.0,53.0,73.0,64.0,78,2780.0,square1,r,0.2237,0,V,11.0
V11,42.0,72.0,56.0,67.0,59.0,67,2847.0,square3,i,0.2293,2,V,11.0
V11,43.0,81.0,54.0,73.0,63.0,81,2928.0,square1,r,0.3267,0,V,11.0
V11,44.0,76.0,54.0,75.0,59.0,76,3004.0,square1,r,0.2085,0,V,11.0
V11,45.0,79.0,59.0,71.0,64.0,59,3063.0,square2,j,0.2085,1,V,11.0
V11,46.0,80.0,55.0,67.0,57.0,80,3143.0,square1,r,0.1948,0,V,11.0
V11,47.0,84.0,53.0,75.0,56.0,56,3199.0,square4,f,0.2323,3,V,11.0
V11,48.0,83.0,57.0,71.0,60.0,83,3282.0,square1,r,0.2296,0,V,11.0
V11,49.0,79.0,52.0,71.0,60.0,79,3361.0,square1,r,0.5069,0,V,11.0
V11,50.0,76.0,50.0,69.0,60.0,76,3437.0,square1,r,0.111,0,V,11.0
V11,51.0,79.0,54.0,72.0,57.0,79,3516.0,square1,r,0.2293,0,V,11.0
V11,52.0,80.0,54.0,72.0,64.0,80,3596.0,square1,r,0.1183,0,V,11.0
V11,53.0,35.0,50.0,55.0,69.0,35,3631.0,square1,r,0.0904,0,V,11.0
V11,54.0,45.0,48.0,55.0,73.0,55,3686.0,square3,i,0.271,2,V,11.0
V11,55.0,43.0,53.0,58.0,70.0,53,3739.0,square2,j,0.1617,1,V,11.0
V11,56.0,40.0,46.0,60.0,62.0,62,3801.0,square4,f,0.3265,3,V,11.0
V11,57.0,44.0,46.0,53.0,71.0,44,3845.0,square1,r,0.1875,0,V,11.0
V11,58.0,44.0,52.0,55.0,68.0,68,3913.0,square4,f,0.3197,3,V,11.0
V11,59.0,44.0,44.0,57.0,66.0,57,3970.0,square3,i,0.1666,2,V,11.0
V11,60.0,40.0,46.0,57.0,62.0,62,4032.0,square4,f,0.264,3,V,11.0
V11,61.0,42.0,52.0,58.0,62.0,52,4084.0,square2,j,0.1949,1,V,11.0
V11,62.0,40.0,49.0,56.0,71.0,71,4155.0,square4,f,0.4822,3,V,11.0
V11,63.0,40.0,54.0,60.0,66.0,66,4221.0,square4,f,0.2953,3,V,11.0
V11,64.0,41.0,43.0,51.0,66.0,66,4287.0,square4,f,0.3057,3,V,11.0
V11,65.0,39.0,48.0,59.0,66.0,66,4353.0,square4,f,0.2517,3,V,11.0
V11,66.0,40.0,48.0,59.0,69.0,40,4393.0,square1,r,0.2642,0,V,11.0
V11,67.0,46.0,45.0,58.0,69.0,69,4462.0,square4,f,0.2927,3,V,11.0
V11,68.0,41.0,50.0,56.0,69.0,69,4531.0,square4,f,0.2648,3,V,11.0
V11,69.0,48.0,49.0,57.0,71.0,71,4602.0,square4,f,0.1671,3,V,11.0
V11,70.0,41.0,47.0,58.0,65.0,65,4667.0,square4,f,0.3352,3,V,11.0
V11,71.0,37.0,46.0,58.0,60.0,46,4713.0,square2,j,0.1948,1,V,11.0
V11,72.0,41.0,47.0,54.0,65.0,54,4767.0,square3,i,0.0004,2,V,11.0
V11,73.0,42.0,47.0,60.0,67.0,67,4834.0,square4,f,0.2502,3,V,11.0
