block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,0,0.0,square3,,,2,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,100,100.0,square1,,,0,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,0,100.0,square2,,,1,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,0,100.0,square4,,,3,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,100,200.0,square1,,,0,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100,300.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100,400.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100,500.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100,600.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100,700.0,square1,,,0,p,0.0
NS6,0.0,68.0,18.0,30.0,58.0,58,58.0,square4,r,0.8592,3,N,6.0
NS6,1.0,62.0,23.0,38.0,67.0,38,96.0,square3,i,0.3538,2,N,6.0
NS6,2.0,59.0,30.0,33.0,67.0,59,155.0,square1,j,0.0226,0,N,6.0
NS6,3.0,62.0,27.0,39.0,65.0,27,182.0,square2,f,0.4371,1,N,6.0
NS6,4.0,65.0,22.0,32.0,67.0,65,247.0,square1,j,0.338,0,N,6.0
NS6,5.0,61.0,28.0,39.0,67.0,61,308.0,square1,j,0.3556,0,N,6.0
NS6,6.0,59.0,28.0,39.0,66.0,66,374.0,square4,r,0.3217,3,N,6.0
NS6,7.0,56.0,30.0,43.0,63.0,63,437.0,square4,r,0.2733,3,N,6.0
NS6,8.0,57.0,26.0,36.0,60.0,60,497.0,square4,r,0.205,3,N,6.0
NS6,9.0,51.0,30.0,38.0,65.0,38,535.0,square3,i,0.2876,2,N,6.0
NS6,10.0,46.0,26.0,41.0,61.0,46,581.0,square1,j,0.3192,0,N,6.0
NS6,11.0,46.0,30.0,40.0,58.0,58,639.0,square4,r,0.1114,3,N,6.0
NS6,12.0,44.0,27.0,41.0,56.0,27,666.0,square2,f,1.0197,1,N,6.0
NS6,13.0,41.0,32.0,44.0,54.0,99999,666.0,invalid,,,-1,N,6.0
NS6,14.0,45.0,36.0,41.0,51.0,99999,666.0,invalid,,,-1,N,6.0
NS6,15.0,37.0,34.0,39.0,54.0,39,705.0,square3,i,0.3045,2,N,6.0
NS6,16.0,36.0,37.0,39.0,48.0,36,741.0,square1,j,1.3698,0,N,6.0
NS6,17.0,41.0,39.0,36.0,45.0,39,780.0,square2,f,0.6706,1,N,6.0
NS6,18.0,39.0,38.0,29.0,48.0,38,818.0,square2,f,1.1124,1,N,6.0
NS6,19.0,35.0,40.0,32.0,46.0,35,853.0,square1,j,0.0709,0,N,6.0
NS6,20.0,41.0,40.0,28.0,55.0,41,894.0,square1,j,0.038,0,N,6.0
NS6,21.0,45.0,44.0,27.0,54.0,45,939.0,square1,j,0.2812,0,N,6.0
NS6,22.0,44.0,51.0,31.0,53.0,44,983.0,square1,j,0.1374,0,N,6.0
NS6,23.0,44.0,50.0,29.0,53.0,44,1027.0,square1,j,0.1075,0,N,6.0
NS6,24.0,49.0,49.0,35.0,55.0,49,1076.0,square1,j,0.3098,0,N,6.0
NS6,25.0,44.0,51.0,36.0,56.0,36,1112.0,square3,i,0.1682,2,N,6.0
NS6,26.0,43.0,46.0,38.0,58.0,46,1158.0,square2,f,0.7719,1,N,6.0
NS6,27.0,41.0,44.0,41.0,59.0,44,1202.0,square2,f,0.4199,1,N,6.0
NS6,28.0,38.0,47.0,39.0,58.0,38,1240.0,square1,j,0.2839,0,N,6.0
NS6,29.0,39.0,46.0,37.0,54.0,46,1286.0,square2,f,0.2229,1,N,6.0
NS6,30.0,36.0,49.0,40.0,53.0,49,1335.0,square2,f,0.2715,1,N,6.0
NS6,31.0,37.0,45.0,36.0,55.0,45,1380.0,square2,f,0.3825,1,N,6.0
NS6,32.0,42.0,42.0,40.0,56.0,42,1422.0,square2,f,0.2051,1,N,6.0
NS6,33.0,33.0,44.0,32.0,53.0,44,1466.0,square2,f,0.1051,1,N,6.0
NS6,34.0,32.0,42.0,36.0,49.0,42,1508.0,square2,f,0.0221,1,N,6.0
NS6,35.0,35.0,28.0,38.0,51.0,38,1546.0,square3,i,0.088,2,N,6.0
NS6,36.0,38.0,28.0,35.0,52.0,28,1574.0,square2,f,0.0893,1,N,6.0
NS6,37.0,44.0,31.0,37.0,55.0,37,1611.0,square3,i,0.1037,2,N,6.0
NS6,38.0,36.0,31.0,36.0,54.0,36,1647.0,square3,i,0.0867,2,N,6.0
NS6,39.0,40.0,29.0,41.0,60.0,41,1688.0,square3,i,0.2046,2,N,6.0
NS6,40.0,46.0,33.0,36.0,62.0,36,1724.0,square3,i,0.4906,2,N,6.0
NS6,41.0,44.0,38.0,34.0,63.0,34,1758.0,square3,i,0.3032,2,N,6.0
