block,Trial,square1,square2,square3,square4,currPoints,totalPoints,square,choiceKey.keys,choiceKey.rt,armNum,blockType,blockNum
prac,0.0,100.0,0.0,0.0,0.0,100.0,100.0,square1,,,0,p,0.0
prac,1.0,100.0,0.0,0.0,0.0,100.0,200.0,square1,,,0,p,0.0
prac,2.0,100.0,0.0,0.0,0.0,100.0,300.0,square1,,,0,p,0.0
prac,3.0,100.0,0.0,0.0,0.0,100.0,400.0,square1,,,0,p,0.0
prac,4.0,100.0,0.0,0.0,0.0,100.0,500.0,square1,,,0,p,0.0
prac,5.0,100.0,0.0,0.0,0.0,100.0,600.0,square1,,,0,p,0.0
prac,6.0,100.0,0.0,0.0,0.0,100.0,700.0,square1,,,0,p,0.0
prac,7.0,100.0,0.0,0.0,0.0,100.0,800.0,square1,,,0,p,0.0
prac,8.0,100.0,0.0,0.0,0.0,100.0,900.0,square1,,,0,p,0.0
prac,9.0,100.0,0.0,0.0,0.0,100.0,1000.0,square1,,,0,p,0.0
NS8,0.0,61.0,62.0,34.0,32.0,62.0,62.0,square2,r,0.9584,1,N,8.0
NS8,1.0,57.0,56.0,38.0,27.0,56.0,118.0,square2,r,0.3279,1,N,8.0
NS8,2.0,66.0,55.0,42.0,28.0,66.0,184.0,square1,i,0.2495,0,N,8.0
NS8,3.0,67.0,51.0,37.0,28.0,67.0,251.0,square1,i,0.2654,0,N,8.0
NS8,4.0,65.0,53.0,38.0,32.0,65.0,316.0,square1,i,0.2196,0,N,8.0
NS8,5.0,67.0,52.0,43.0,33.0,33.0,349.0,square4,j,0.2121,3,N,8.0
NS8,6.0,56.0,47.0,41.0,36.0,41.0,390.0,square3,f,0.2324,2,N,8.0
NS8,7.0,58.0,46.0,37.0,31.0,58.0,448.0,square1,i,0.2191,0,N,8.0
NS8,8.0,60.0,58.0,36.0,35.0,58.0,506.0,square2,r,0.2438,1,N,8.0
NS8,9.0,60.0,66.0,41.0,39.0,39.0,545.0,square4,j,0.2123,3,N,8.0
NS8,10.0,60.0,60.0,36.0,33.0,36.0,581.0,square3,f,0.3754,2,N,8.0
NS8,11.0,53.0,63.0,32.0,35.0,63.0,644.0,square2,r,0.0655,1,N,8.0
NS8,12.0,51.0,60.0,32.0,29.0,60.0,704.0,square2,r,0.1033,1,N,8.0
NS8,13.0,53.0,65.0,30.0,32.0,65.0,769.0,square2,r,0.0465,1,N,8.0
NS8,14.0,56.0,69.0,25.0,33.0,69.0,838.0,square2,r,0.5791,1,N,8.0
NS8,15.0,57.0,71.0,29.0,35.0,71.0,909.0,square2,r,0.2285,1,N,8.0
NS8,16.0,55.0,64.0,31.0,33.0,64.0,973.0,square2,r,0.1388,1,N,8.0
NS8,17.0,48.0,65.0,29.0,32.0,65.0,1038.0,square2,r,0.1286,1,N,8.0
NS8,18.0,44.0,64.0,28.0,34.0,64.0,1102.0,square2,r,0.1791,1,N,8.0
